,TOWN,POP2010,2018,death_per_10k
0,wellesley,27982,0,0.0
1,needham,28886,0,0.0
2,petersham,1234,0,0.0
3,reading,24747,1,0.4040893845718673
4,quincy,92271,35,3.793174453511938
5,chesterfield,1222,0,0.0
6,southborough,9767,0,0.0
7,milford,27999,16,5.7144898032072575
8,boylston,4355,0,0.0
9,plainville,8264,0,0.0
10,new bedford,95072,62,6.521373274991586
11,marblehead,19808,1,0.5048465266558967
12,longmeadow,15784,2,1.2671059300557526
13,granville,1566,0,0.0
14,webster,16767,9,5.367686527106817
15,southbridge,16719,9,5.383097075183922
16,salisbury,8283,6,7.243752263672582
17,amherst,37819,2,0.5288347127105424
18,concord,17668,4,2.2639800769753227
19,windsor,899,0,0.0
20,taunton,55874,37,6.622042452661345
21,wareham,21822,18,8.248556502612043
22,north brookfield,4680,0,0.0
23,charlton,12981,0,0.0
24,randolph,32112,4,1.2456402590931739
25,sheffield,3257,1,3.0703101013202336
26,newburyport,17416,7,4.019292604501608
27,maynard,10106,1,0.9895111814763508
28,tewksbury,28961,5,1.7264597216946929
29,fitchburg,40318,11,2.728309936008731
30,lancaster,8055,0,0.0
31,dighton,7086,1,1.4112334180073385
32,chelsea,35177,13,3.6955965545669045
33,athol,11584,10,8.632596685082872
34,cheshire,3235,3,9.273570324574962
35,essex,3504,0,0.0
36,ware,9872,4,4.051863857374392
37,nantucket,10172,2,1.966181675186787
38,egremont,1225,0,0.0
39,deerfield,5125,0,0.0
40,conway,1897,0,0.0
41,dalton,6756,0,0.0
42,peabody,51251,9,1.7560632963259255
43,agawam,28438,8,2.813137351431184
44,medfield,12024,1,0.8316699933466402
45,worcester,181045,134,7.401474771465657
46,swampscott,13787,1,0.7253209545223761
47,wayland,12994,1,0.7695859627520394
48,falmouth,31531,9,2.854333830198852
49,hubbardston,4382,1,2.2820629849383844
50,fairhaven,15873,3,1.89000189000189
51,sandwich,20675,4,1.9347037484885128
52,marshfield,25132,5,1.9894954639503424
53,goshen,1054,0,0.0
54,northborough,14155,0,0.0
55,acushnet,10303,0,0.0
56,marion,4907,1,2.037905033625433
57,burlington,24498,20,8.163931749530573
58,lenox,5025,1,1.9900497512437814
59,hawley,337,0,0.0
60,becket,1779,0,0.0
61,great barrington,7104,0,0.0
62,rowe,393,0,0.0
63,middlefield,521,0,0.0
64,groton,10646,0,0.0
65,truro,2003,0,0.0
66,winchendon,10300,3,2.912621359223301
67,wellfleet,2750,0,0.0
68,ashburnham,6081,0,0.0
69,amesbury,16283,6,3.6848246637597493
70,hancock,717,0,0.0
71,westborough,18272,1,0.5472854640980735
72,nahant,3410,0,0.0
73,wenham,4875,2,4.102564102564103
74,west bridgewater,6916,2,2.891844997108155
75,carlisle,4852,0,0.0
76,saugus,26628,11,4.1309899354063395
77,lexington,31394,1,0.31853220360578455
78,lanesborough,3091,1,3.2351989647363313
79,plainfield,648,0,0.0
80,sturbridge,9268,0,0.0
81,belmont,24729,1,0.4043835173278337
82,gosnold,75,0,0.0
83,peru,847,0,0.0
84,sherborn,4119,1,2.4277737314882253
85,middleborough,23116,4,1.7304031839418585
86,fall river,88857,67,7.540205048561171
87,warwick,780,0,0.0
88,milton,27003,5,1.8516461133948081
89,adams,8485,4,4.7142015321154975
90,millis,7891,1,1.2672665061462425
91,brimfield,3609,2,5.541701302299806
92,west stockbridge,1306,1,7.656967840735069
93,danvers,26493,4,1.5098327860189482
94,otis,1612,0,0.0
95,colrain,1671,0,0.0
96,northfield,3032,1,3.298153034300791
97,plympton,2820,0,0.0
98,berkley,6411,1,1.5598190609889253
99,kingston,12629,2,1.5836566632354108
