uniq_name,absenteeism,air_pollution_-_particulate_matter,binge_drinking,breast_cancer_deaths,cardiovascular_disease_deaths,children_in_poverty,colorectal_cancer_deaths,dental_care,diabetes,frequent_mental_distress,frequent_physical_distress,high_blood_pressure,high_school_graduation,"housing_cost,_excessive",housing_with_potential_lead_risk,income_inequality,lead_exposure_risk_index,life_expectancy,limited_access_to_healthy_foods,low_birthweight,neighborhood_racial/ethnic_segregation,obesity,opioid_overdose_deaths,park_access,physical_inactivity,premature_deaths_(all_causes),prenatal_care,preventive_services,racial/ethnic_diversity,smoking,teen_births,third-grade_reading_proficiency,unemployment,uninsured,violent_crime,walkability
AK_Anchorage,25.8,,19.4,17.8,135.2,11.5,13.5,65.2,7.6,11.4,10.6,26.8,80.5,31.5,7.6,17.4,2.0,78.3,72.0,6.4,7.2,27.6,13.2,74.1,17.5,7300.0,77.0,36.5,75.5,18.0,20.8,36.9,5.8,14.4,1190.7,32.0
AL_Birmingham,21.6,11.5,13.2,42.5,293.8,45.4,25.1,52.6,16.7,15.2,16.3,43.8,78.5,39.9,26.5,-33.3,9.0,74.8,78.1,13.2,35.1,41.7,28.0,51.3,35.6,17400.0,66.3,29.5,59.8,22.3,49.4,14.6,10.7,15.9,,39.4
AL_Hoover,10.4,11.4,17.8,11.9,81.9,8.0,4.1,74.5,8.3,10.4,9.9,30.7,94.1,24.6,5.4,19.2,1.0,80.1,81.4,,12.4,29.2,12.0,9.4,20.4,3800.0,,42.5,56.3,14.1,,53.3,4.2,7.4,97.5,22.6
AL_Huntsville,25.4,10.4,14.1,21.2,171.2,28.7,13.9,61.2,12.2,13.3,13.2,36.8,89.9,28.3,11.4,-9.3,5.0,78.0,82.2,10.9,18.8,32.6,3.5,33.3,26.0,8300.0,63.3,43.0,61.6,18.5,22.8,36.2,7.3,13.0,934.5,23.4
AL_Mobile,18.8,10.3,14.7,29.4,267.1,34.8,19.8,58.7,15.2,14.7,15.7,42.0,88.0,35.4,17.8,-24.6,7.0,75.5,71.2,12.3,25.0,39.0,5.1,38.8,29.5,11700.0,82.1,31.3,59.6,20.2,36.6,26.0,7.9,14.7,949.3,32.6
AL_Montgomery,14.1,10.7,15.1,34.6,233.3,33.5,18.0,60.6,13.7,14.5,14.5,40.3,82.8,33.4,15.4,-18.3,7.0,75.3,78.2,13.3,24.8,36.4,,24.9,29.8,10500.0,62.8,32.3,60.1,21.0,38.8,23.5,7.9,13.4,633.1,26.9
AL_Tuscaloosa,16.6,10.3,17.2,28.0,227.4,28.0,22.3,59.6,10.3,16.1,13.1,32.6,91.4,37.6,12.0,-20.5,6.0,75.4,78.3,,28.1,31.8,4.3,32.8,27.0,10100.0,,33.9,57.7,20.7,,39.3,8.2,10.1,491.9,32.6
AR_Fayetteville,9.5,8.9,18.5,22.6,389.6,20.8,20.8,59.5,6.6,14.8,10.8,24.9,89.6,34.7,8.0,-19.1,5.0,78.1,78.5,,13.2,29.8,4.3,52.2,24.6,8200.0,,33.9,57.0,20.5,,55.7,5.2,10.8,639.3,32.1
AR_Fort Smith,15.9,9.5,13.7,17.1,277.2,36.8,13.0,54.7,12.7,16.9,17.4,37.9,86.3,31.1,17.0,-26.3,8.0,75.2,69.4,,14.1,35.0,9.3,23.7,35.1,9800.0,,27.1,67.6,25.4,,38.2,5.6,17.2,897.3,34.7
AR_Jonesboro,19.4,9.8,14.4,18.5,276.0,27.2,17.1,58.1,9.8,15.4,13.8,33.9,93.3,29.7,8.2,-18.2,5.0,76.0,79.3,,12.9,35.2,,24.8,29.3,8100.0,,34.3,49.2,21.6,,35.1,6.4,12.2,550.7,23.3
AR_Little Rock,18.0,10.1,15.4,27.3,247.6,25.3,15.6,65.9,11.4,14.2,13.9,37.2,80.0,32.5,14.3,-9.4,5.0,76.8,75.7,11.0,24.5,34.2,6.6,41.4,28.9,9500.0,,37.0,67.8,19.9,32.1,32.5,5.0,12.5,1647.4,32.3
AR_Springdale,8.8,9.0,15.8,18.4,409.3,27.8,12.4,50.7,10.3,16.2,15.2,31.8,84.6,24.6,6.1,-11.6,4.0,77.7,79.6,,10.7,35.7,6.3,14.9,34.0,8800.0,,30.0,66.4,24.5,,34.1,5.1,19.4,,26.6
AZ_Avondale,20.3,7.8,17.7,20.6,231.7,22.0,18.3,59.9,8.9,13.6,12.4,24.8,83.3,34.2,3.2,-7.5,3.0,78.1,68.3,,7.3,29.9,9.2,23.3,24.7,6800.0,,29.0,73.5,18.0,,34.3,6.0,14.7,318.7,40.8
AZ_Chandler,14.3,8.1,18.6,31.1,218.7,11.9,18.8,70.7,7.3,11.2,10.0,24.0,52.9,25.9,3.3,13.3,1.0,80.1,60.6,7.2,7.4,25.3,7.4,62.1,18.4,5000.0,86.6,36.1,69.1,14.8,14.3,59.6,4.6,8.8,267.2,53.7
AZ_Gilbert,13.3,7.8,20.3,27.6,212.4,6.2,17.6,73.6,6.3,10.9,9.1,22.1,89.6,24.9,2.0,21.1,1.0,80.2,71.0,6.7,3.9,24.5,12.0,30.0,16.3,4800.0,88.5,37.9,58.1,14.7,6.3,60.0,4.7,6.9,91.3,37.3
AZ_Glendale,15.1,7.5,16.4,30.2,255.6,29.9,22.7,59.9,10.0,14.0,13.8,28.2,88.3,34.9,6.5,-13.3,4.0,77.9,64.0,7.4,15.9,29.8,15.4,74.0,25.7,9300.0,72.4,31.1,70.2,18.9,32.7,37.3,6.3,15.5,507.2,40.8
AZ_Mesa,15.8,7.5,16.6,21.6,193.6,23.2,13.7,64.1,9.6,12.9,13.0,29.4,74.2,33.3,5.6,-9.0,3.0,78.3,60.8,6.9,13.9,28.0,13.5,65.4,23.4,7700.0,76.8,33.7,60.7,17.4,26.4,45.3,6.0,16.3,435.1,37.3
AZ_Peoria,10.8,6.8,17.2,28.6,201.1,10.3,14.2,69.7,8.9,11.5,11.7,28.8,85.5,29.3,2.8,6.1,1.0,79.4,71.7,6.5,9.2,26.2,12.1,37.2,20.6,6300.0,80.5,35.7,54.7,15.5,14.8,52.2,6.1,9.3,260.9,39.9
AZ_Phoenix,18.6,7.7,16.5,19.7,175.2,30.5,14.5,59.3,9.8,13.9,13.6,27.5,77.1,34.3,10.7,-8.6,5.0,77.9,60.3,7.7,21.2,30.1,11.3,48.5,25.6,6800.0,71.0,32.0,71.6,18.6,30.9,37.3,6.9,18.0,804.4,53.7
AZ_Scottsdale,17.3,6.9,16.5,25.6,153.5,13.1,14.6,76.0,8.4,9.5,10.0,29.7,91.4,30.0,6.2,16.8,2.0,81.7,67.7,6.7,9.9,23.7,12.0,39.4,16.7,5400.0,81.9,39.3,43.1,11.9,8.3,66.0,4.1,7.8,168.9,40.8
AZ_Surprise,17.3,6.3,16.2,20.0,167.9,12.6,10.5,69.1,9.6,11.2,11.8,31.0,90.4,27.8,1.4,0.6,1.0,79.3,78.4,6.9,8.6,26.7,9.9,15.9,20.9,6300.0,74.8,37.6,51.6,15.6,15.4,48.8,6.7,8.4,94.1,21.4
AZ_Tempe,19.0,8.0,19.3,25.4,194.9,23.1,17.6,65.8,6.6,12.9,9.9,21.6,62.7,35.4,7.2,-11.6,4.0,79.4,48.9,8.6,10.7,24.7,8.4,63.9,19.0,6000.0,79.4,35.0,74.9,15.8,8.3,45.7,5.5,13.0,505.4,53.7
