TOWN,POP1980,POP1990,POP2000,POPCH80_90,POPCH90_00,FIPS_STCO,SUM_ACRES,SUM_SQUARE,POP2010,POPCH00_10,SHAPE_Leng,SHAPE_Area,city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18,EB_rate_14,EB_rate_15,EB_rate_16,EB_rate_17,EB_rate_18
WELLESLEY,26658,26615,26604,-43,-11,25021,   6749.85200000000,     10.54700000000,27982,1378,  26738.59436860000,27269576.38699999800,WELLESLEY,   0.000000000000000,   1.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,28566.000000000000000,28712.000000000000000,28858.000000000000000,29004.000000000000000,29150.000000000000000,       0.000054998524713,       0.000080164600366,       0.000056804666290,       0.000056731875343,       0.000054828935010
NEEDHAM,27310,27557,28924,247,1367,25021,   8130.18700000000,     12.70300000000,28886,-38,  28960.01282490000,32947766.81980000100,NEEDHAM,   0.000000000000000,   1.000000000000000,   2.000000000000000,   1.000000000000000,   0.000000000000000,29767.714285714286000,29988.142857142859000,30208.571428571428000,30429.000000000000000,30649.428571428572000,       0.000053356570187,       0.000077421196045,       0.000109223207706,       0.000081278805424,       0.000052626418577
PETERSHAM,997,1131,1180,134,49,25027,  43675.59900000000,     68.24300000000,1234,54,  73405.70662950000,176748924.11700001000,PETERSHAM,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,1224.857142857142900,1222.571428571428700,1220.285714285714200,1218.000000000000000,1215.714285714285800,       0.000183417726655,       0.000221368481660,       0.000260626344621,       0.000248178692953,       0.000248882227057
READING,22545,22539,23708,-6,1169,25017,   6393.72700000000,      9.99000000000,24747,1039,  23126.47130270000,25874497.04270000000,READING,   2.000000000000000,   2.000000000000000,   4.000000000000000,   4.000000000000000,   1.000000000000000,25331.000000000000000,25477.000000000000000,25623.000000000000000,25769.000000000000000,25915.000000000000000,       0.000115807742683,       0.000118583676011,       0.000187118505205,       0.000184337236102,       0.000090953493640
QUINCY,83682,84985,88025,1303,3040,25021,  11080.39700000000,     17.31300000000,92271,4246,  87188.93427460000,44840777.04980000100,QUINCY,  39.000000000000000,  43.000000000000000,  36.000000000000000,  37.000000000000000,  35.000000000000000,90740.714285714290000,91000.142857142855000,91259.571428571435000,91519.000000000000000,91778.428571428565000,       0.000406496304101,       0.000456623928118,       0.000388855850330,       0.000396240115285,       0.000375442541673
CHESTERFIELD,1157,1048,1201,-109,153,25015,  19996.24900000000,     31.24400000000,1222,21,  42557.39611670000,80921923.09039999500,CHESTERFIELD,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,1268.285714285714200,1279.857142857142900,1291.428571428571300,1303.000000000000000,1314.571428571428700,       0.000182739973786,       0.000219890771477,       0.000258241165421,       0.000245642874969,       0.000245803510066
SOUTHBOROUGH,6405,6628,8781,223,2153,25027,   9934.95400000000,     15.52300000000,9767,986,  27678.80053010000,40205358.49620000300,SOUTHBOROUGH,   1.000000000000000,   0.000000000000000,   1.000000000000000,   0.000000000000000,   0.000000000000000,9912.142857142856900,9948.428571428570600,9984.714285714286200,10021.000000000000000,10057.285714285714000,       0.000154324776127,       0.000109391646549,       0.000182637582695,       0.000119944189255,       0.000117385128093
MILFORD,24115,25359,26799,1244,1440,25027,   9614.79300000000,     15.02300000000,27999,1200,  28283.57587610000,38909665.26709999900,MILFORD,  14.000000000000000,   9.000000000000000,  20.000000000000000,  14.000000000000000,  16.000000000000000,28359.571428571428000,28449.714285714286000,28539.857142857141000,28630.000000000000000,28720.142857142859000,       0.000415704990026,       0.000304519251721,       0.000628387958533,       0.000450079271832,       0.000507508655540
BOYLSTON,3412,3517,4083,105,566,25027,  12639.98500000000,     19.75000000000,4355,272,  30445.50786210000,51152172.77669999700,BOYLSTON,   0.000000000000000,   1.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,4451.571428571428400,4475.714285714285300,4499.857142857143100,4524.000000000000000,4548.142857142856900,       0.000143793412026,       0.000245130364115,       0.000182796117322,       0.000177079331161,       0.000174996105907
PLAINVILLE,6173,6871,7683,698,812,25021,   7357.83200000000,     11.49700000000,8264,581,  23823.93256940000,29776042.23770000000,PLAINVILLE,   3.000000000000000,   2.000000000000000,   1.000000000000000,   2.000000000000000,   0.000000000000000,8684.571428571429400,8789.714285714286200,8894.857142857143100,9000.000000000000000,9105.142857142856900,       0.000268541589731,       0.000241557532482,       0.000195582046403,       0.000252466523025,       0.000124467018952
NEW BEDFORD,97738,99922,93768,2184,-6154,25005,  12978.71300000000,     20.27900000000,95072,1304,  53467.70272460000,52522965.35509999800,NEW BEDFORD,  38.000000000000000,  64.000000000000000,  63.000000000000000,  56.000000000000000,  62.000000000000000,94418.285714285710000,94431.857142857145000,94445.428571428565000,94459.000000000000000,94472.571428571435000,       0.000382713177919,       0.000647642233144,       0.000644099525148,       0.000571998415665,       0.000632373973641
MARBLEHEAD,19755,19971,20377,216,406,25009,   2798.91700000000,      4.37400000000,19808,-569,  28931.40754810000,11293625.83300000100,MARBLEHEAD,   0.000000000000000,   0.000000000000000,   2.000000000000000,   3.000000000000000,   1.000000000000000,20142.285714285714000,20225.857142857141000,20309.428571428572000,20393.000000000000000,20476.571428571428000,       0.000070125477697,       0.000068550413261,       0.000149579569560,       0.000184008765341,       0.000109170032296
LONGMEADOW,16213,15467,15633,-746,166,25013,   6140.56100000000,      9.59500000000,15784,151,  19827.98596190000,24849962.89510000100,LONGMEADOW,   0.000000000000000,   0.000000000000000,   3.000000000000000,   0.000000000000000,   2.000000000000000,15836.571428571429000,15849.714285714286000,15862.857142857143000,15876.000000000000000,15889.142857142857000,       0.000081596850467,       0.000081507922827,       0.000224097607508,       0.000089266370520,       0.000175677177688
GRANVILLE,1298,1403,1521,105,118,25013,  27592.74300000000,     43.11300000000,1566,45,  43645.08577660000,111663887.56400000000,GRANVILLE,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,   0.000000000000000,1619.714285714285800,1633.142857142857100,1646.571428571428700,1660.000000000000000,1673.428571428571300,       0.000177434435051,       0.000211196370336,       0.000246958829157,       0.000235535034250,       0.000235240178193
WEBSTER,14795,16196,16415,1401,219,25027,   9341.60800000000,     14.59600000000,16767,352,  26033.42845110000,37804130.98170000300,WEBSTER,   5.000000000000000,   6.000000000000000,   5.000000000000000,   9.000000000000000,   9.000000000000000,16857.857142857141000,16880.571428571428000,16903.285714285714000,16926.000000000000000,16948.714285714286000,       0.000261414689963,       0.000326147651724,       0.000299650279562,       0.000461261672479,       0.000464085709182
