,TOWN,POP2010,SHAPE_Area,GEOID10,SHAPE_AREA,POP100_RE
0,wellesley,27982,27269576.387,250214041003,642485.403323,935.0
0,wellesley,27982,27269576.387,250214042012,1167836.62429,989.0
0,wellesley,27982,27269576.387,250214042013,1182595.0727,968.0
0,wellesley,27982,27269576.387,250214041002,1079831.61747,1145.0
0,wellesley,27982,27269576.387,250214042014,530654.861487,664.0
0,wellesley,27982,27269576.387,250214044003,692665.197816,796.0
0,wellesley,27982,27269576.387,250214044005,4343683.41516,2870.0
0,wellesley,27982,27269576.387,250214044002,1183859.10583,671.0
0,wellesley,27982,27269576.387,250214044004,349917.400604,851.0
0,wellesley,27982,27269576.387,250214044001,889749.220374,1088.0
0,wellesley,27982,27269576.387,250214042023,1549464.20398,2460.0
0,wellesley,27982,27269576.387,250214043023,1610100.5572,990.0
0,wellesley,27982,27269576.387,250214043021,1036145.65637,1845.0
0,wellesley,27982,27269576.387,250214043022,381254.595267,694.0
0,wellesley,27982,27269576.387,250214042021,1243865.9431,1504.0
0,wellesley,27982,27269576.387,250214042022,1729651.7941,1022.0
0,wellesley,27982,27269576.387,250214043015,528447.694332,816.0
0,wellesley,27982,27269576.387,250214043012,491315.291013,874.0
0,wellesley,27982,27269576.387,250214043014,627304.750508,1117.0
0,wellesley,27982,27269576.387,250214042011,911276.031663,1037.0
0,wellesley,27982,27269576.387,250214041001,2732954.18129,1945.0
0,wellesley,27982,27269576.387,250214043013,932077.694169,1295.0
0,wellesley,27982,27269576.387,250214043011,1375495.07811,1406.0
1,needham,28886,32947766.8198,250214572005,309771.566171,708.0
1,needham,28886,32947766.8198,250214035001,2330157.90877,1648.0
1,needham,28886,32947766.8198,250214034004,440527.372174,716.0
1,needham,28886,32947766.8198,250214034002,679300.332989,1286.0
1,needham,28886,32947766.8198,250214572001,709588.760466,1021.0
1,needham,28886,32947766.8198,250214572003,1051734.873,1595.0
1,needham,28886,32947766.8198,250214034005,1658372.1407,1786.0
1,needham,28886,32947766.8198,250214035003,2113851.56478,2516.0
1,needham,28886,32947766.8198,250214035002,1379215.84969,1520.0
1,needham,28886,32947766.8198,250214031005,1353621.3236,1055.0
1,needham,28886,32947766.8198,250214031006,467809.706917,1178.0
1,needham,28886,32947766.8198,250214031003,550793.148054,725.0
1,needham,28886,32947766.8198,250214031004,3125125.69701,1204.0
1,needham,28886,32947766.8198,250214031002,573763.985434,1025.0
1,needham,28886,32947766.8198,250214031007,348205.608283,889.0
1,needham,28886,32947766.8198,250214572002,378829.836035,945.0
1,needham,28886,32947766.8198,250214031001,536854.057983,765.0
1,needham,28886,32947766.8198,250214572004,703831.673326,1382.0
1,needham,28886,32947766.8198,250214033003,5600961.85069,2037.0
1,needham,28886,32947766.8198,250214033002,796827.546837,1001.0
1,needham,28886,32947766.8198,250214034001,6470389.44336,1264.0
1,needham,28886,32947766.8198,250214034003,692608.27914,1436.0
1,needham,28886,32947766.8198,250214033001,697712.564667,1184.0
2,petersham,1234,176748924.117,250277042002,176806834.126,1234.0
3,reading,24747,25874497.0427,250173344005,1015504.30158,1401.0
3,reading,24747,25874497.0427,250173341001,1015992.16336,1723.0
3,reading,24747,25874497.0427,250173344004,436759.600345,598.0
