TOWN,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error
wellesley,27982,27982.0,0.0,0.0
needham,28886,28886.0,0.0,0.0
petersham,1234,1234.0,0.0,0.0
reading,24747,24747.0,0.0,0.0
quincy,92271,89703.0,-2568.0,2.7831062847481873
chesterfield,1222,1222.0,0.0,0.0
southborough,9767,9767.0,0.0,0.0
milford,27999,27999.0,0.0,0.0
boylston,4355,4355.0,0.0,0.0
plainville,8264,8264.0,0.0,0.0
new bedford,95072,94364.0,-708.0,0.7446987546280713
marblehead,19808,19808.0,0.0,0.0
longmeadow,15784,15784.0,0.0,0.0
granville,1566,1566.0,0.0,0.0
webster,16767,16767.0,0.0,0.0
southbridge,16719,16719.0,0.0,0.0
salisbury,8283,8283.0,0.0,0.0
amherst,37819,37819.0,0.0,0.0
concord,17668,17668.0,0.0,0.0
windsor,899,899.0,0.0,0.0
taunton,55874,55874.0,0.0,0.0
wareham,21822,21822.0,0.0,0.0
north brookfield,4680,6003.0,1323.0,28.26923076923077
charlton,12981,12981.0,0.0,0.0
randolph,32112,32112.0,0.0,0.0
sheffield,3257,3257.0,0.0,0.0
newburyport,17416,17416.0,0.0,0.0
maynard,10106,10106.0,0.0,0.0
tewksbury,28961,28961.0,0.0,0.0
fitchburg,40318,40318.0,0.0,0.0
lancaster,8055,8055.0,0.0,0.0
dighton,7086,7086.0,0.0,0.0
chelsea,35177,35177.0,0.0,0.0
athol,11584,11584.0,0.0,0.0
cheshire,3235,3235.0,0.0,0.0
essex,3504,3504.0,0.0,0.0
ware,9872,9872.0,0.0,0.0
nantucket,10172,9650.0,-522.0,5.131734172237515
egremont,1225,0.0,-1225.0,100.0
deerfield,5125,5125.0,0.0,0.0
conway,1897,1897.0,0.0,0.0
dalton,6756,6756.0,0.0,0.0
peabody,51251,51251.0,0.0,0.0
agawam,28438,27621.0,-817.0,2.8729165201490963
medfield,12024,12024.0,0.0,0.0
worcester,181045,181045.0,0.0,0.0
swampscott,13787,13787.0,0.0,0.0
wayland,12994,12994.0,0.0,0.0
falmouth,31531,31021.0,-510.0,1.6174558371126828
hubbardston,4382,4382.0,0.0,0.0
fairhaven,15873,15873.0,0.0,0.0
