,city_death,tot_pop,pop_density,med_house_inc,mean_house_inc,less_than_hs_ed,mean_med_inc_desp,2014,2015,2016,2017,2018,Y14_Y15
0,abington,16275,1932.96913,87156.0,98809.03550508946,5.334519052932906,11653.035505089461,0,6,1,3,5,
1,acton,23455,1257.5835933333333,139890.46666666667,156680.2038667132,2.778634583072049,16789.737200046537,1,2,3,0,1,100.0
2,acushnet,10443,1152.3578714285716,69624.71428571429,80333.1758415636,17.217210886520505,10708.461555849315,0,4,2,4,0,
3,adams,8211,1982.31884,48445.4,60968.59465971087,12.015166657461677,12523.19465971088,2,3,1,0,4,50.0
4,agawam,27769,1897.2735687500003,65490.125,79464.23444558342,7.943052654201439,13974.109445583439,1,2,0,4,8,100.0
5,alford,411,35.74524,105625.0,148519.270833333,1.4534883720930232,42894.270833332994,0,0,0,0,0,
6,amesbury,17218,2659.783186666666,86335.33333333333,96920.17138143258,5.1304502357518755,10584.83804809926,0,6,1,4,6,
7,amherst,39880,3464.2671318181824,61203.94736842105,76166.45394901112,5.1344024893303315,13789.900103617263,1,1,3,1,2,0.0
8,andover,35375,1920.0495299999998,135314.05,174570.49906727744,2.7280598569441343,39256.44906727747,5,2,3,2,2,-60.0
9,aquinnah,640,120.0165,80250.0,103304.316546763,9.667673716012084,23054.316546763002,0,0,0,0,0,
10,arlington,44992,9999.961454545453,117226.48837209302,141678.55759841323,2.8110161270102245,23978.097527228874,5,4,2,1,2,-20.0
11,ashburnham,6210,292.181324,86149.8,99282.09876598573,3.009594968164101,13132.29876598574,0,1,1,0,0,
12,ashby,3195,141.8231,93522.0,103872.60450834001,8.059904033588245,10350.604508340002,1,0,0,1,0,-100.0
13,ashfield,1598,40.00308,72415.0,93013.58510023926,2.3944914887308015,20598.585100239252,0,0,0,0,1,
14,ashland,17478,1750.2759555555556,105871.77777777778,126114.49357549782,4.2296057701931815,20242.71579772003,0,1,2,2,0,
15,athol,11680,1265.4741374999999,54531.71428571428,61648.84684156779,15.079400283699673,10872.627459840161,2,2,4,5,10,0.0
16,attleboro,44326,3040.559063333333,75340.53571428571,86561.72830727945,10.901508313907502,12981.642050288774,15,17,23,40,16,13.333333333333334
17,auburn,16552,1612.3079294117647,78411.05882352941,93681.00878706726,6.568364207862641,15269.949963537825,1,0,0,1,1,-100.0
18,avon,4468,1297.5282249999998,73736.25,89870.68927908503,13.190984531968274,16134.439279085018,2,0,1,1,2,-100.0
19,ayer,8014,1659.3511571428573,76260.0,88050.46078038828,4.988741157025808,11790.46078038827,2,1,10,3,2,-50.0
20,barnstable,44325,1492.01727368421,70447.84210526316,96581.06305344864,5.039704939362509,26133.22094818549,19,25,30,23,34,31.57894736842105
21,barre,5491,496.4564875,70220.25,88804.5441717447,5.308568255018315,18584.2941717447,0,0,0,0,1,
22,becket,1852,41.21907,76042.0,88111.42338958636,6.59110310158399,12069.42338958635,0,1,0,0,0,
23,bedford,14105,1709.7476222222222,124504.22222222222,151027.7814162325,2.001480200554114,26523.55919401028,1,1,2,2,1,0.0
