city_death,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,town_status,urb_v_rur,death_rate_12,death_rate_13,death_rate_14,death_rate_15,death_rate_16,death_rate_17,death_rate_18
abington,16275,2469,0.15170506912442397,87156.0,98809.03550508946,11653.035505089461,3.452855245683931,5.405642963874484,0.03575398295665061,0.10040755835494627,grown,rural,0.6223605245610135,1.2415199751696007,0.0,3.705500904318673,0.616007392088705,1.8433179723502304,3.064396095083833
acton,23455,4001,0.17058196546578555,139890.46666666667,156680.2038667132,16789.737200046537,1.2195121951219512,2.456531155250294,0.03831466941262282,0.04174711460076372,grown,rural,0.8943972401456589,0.0,0.4386184771166475,0.8689013983106074,1.2910841417979269,0.0,0.42240942335079296
acushnet,10443,2431,0.23278751316671453,69624.71428571429,80333.1758415636,10708.461555849315,10.99290780141844,18.297314996725607,0.040828173374613,0.17840557275541796,grown,rural,1.9336749492410326,0.0,0.0,3.8450446986446214,1.9188333493236112,3.8303169587283348,0.0
adams,8211,1764,0.21483375959079284,48445.4,60968.59465971087,12523.19465971088,6.906906906906907,11.862182116488926,0.11085394079668656,0.1445973931051285,shrunk,rural,1.1895253793736298,1.1950898878322775,2.4014134033173815,3.6191296854803965,1.2121002233727554,0.0,4.894848172298656
agawam,27769,6195,0.22309049659692462,65490.125,79464.23444558342,13974.109445583439,0.0,7.748863306568637,0.09481894150417827,0.14265552460538533,shrunk,rural,0.3540216863570157,1.0656706874590858,0.35643362696674985,0.7153039275294935,0.0,1.4404551838380928,2.8908597210320366
alford,411,219,0.5328467153284672,105625.0,148519.270833333,42894.270833332994,0.0,1.4534883720930232,0.04866180048661801,0.024330900243309004,shrunk,rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amesbury,17218,2949,0.17127424788012546,86335.33333333333,96920.17138143258,10584.83804809926,4.338153503893214,5.751708428246014,0.04914077212806026,0.09021892655367232,grown,rural,0.6042243916755142,0.5993869128148922,0.0,3.539644012944984,0.5853283273824953,2.3231501916598907,3.457900066688073
amherst,39880,3465,0.08688565697091274,61203.94736842105,76166.45394901112,13789.900103617263,0.0,4.992163009404389,0.3322599779679688,0.14867384119989832,grown,rural,0.0,0.5167653442395429,0.25643186055968087,0.2545102858514096,0.7578518868707573,0.25075225677031093,0.49782910949040077
andover,35375,5881,0.16624734982332157,135314.05,174570.49906727744,39256.44906727747,1.3185878349638451,2.6285172577239626,0.04442355153367023,0.044012222352802916,grown,rural,0.2956642943126861,1.1718962536987976,1.4516617379294328,0.5754756923178105,0.8555679137587543,0.5653710247349824,0.5604506022842365
aquinnah,640,66,0.103125,80250.0,103304.316546763,23054.316546763002,14.545454545454545,9.667673716012084,0.2171875,0.05,grown,rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arlington,44992,8208,0.18243243243243243,117226.48837209302,141678.55759841323,23978.097527228874,2.1065675340768277,2.9699689749691256,0.05175770323793327,0.0668620913423885,grown,rural,0.9204349712692799,0.6854859769154437,1.1345218800648298,0.901341711519147,0.4475760559597949,0.22226173541963018,0.44151224250375287
ashburnham,6210,776,0.1249597423510467,86149.8,99282.09876598573,13132.29876598574,16.551724137931036,2.8346068523539563,0.047760210803689064,0.06538208168642952,grown,rural,0.0,0.0,0.0,1.6199203924835694,1.615098867123509,0.0,0.0
ashby,3195,496,0.15524256651017215,93522.0,103872.60450834001,10350.604508340002,0.0,8.383233532934131,0.07855559075071271,0.06208425720620843,grown,rural,0.0,0.0,3.1815289519134624,0.0,0.0,3.1298904538341157,0.0
ashfield,1598,340,0.2127659574468085,72415.0,93013.58510023926,20598.585100239252,0.0,2.4271844660194173,0.0769712140175219,0.10763454317897372,shrunk,rural,0.0,0.0,0.0,0.0,0.0,0.0,6.336561962523763
ashland,17478,2943,0.16838311019567456,105871.77777777778,126114.49357549782,20242.71579772003,0.0,3.7690263348634936,0.03184347925870675,0.0730965631992656,grown,rural,0.5936177610434105,0.0,0.0,0.5805467091295116,1.152633355562691,1.1442956860052638,0.0
athol,11680,2196,0.18801369863013698,54531.71428571428,61648.84684156779,10872.627459840161,2.6101141924959217,12.699350265800355,0.1470894874022589,0.16550825369244135,grown,rural,1.72244094488189,1.720408965788439,1.718381775333857,1.7163593566104351,3.4286833855799372,4.280821917808219,8.551602814698983
attleboro,44326,6953,0.15686053332130126,75340.53571428571,86561.72830727945,12981.642050288774,0.9169638308711157,10.879245896310742,0.09160636427968133,0.1302075010843016,grown,rural,0.9131913755597374,2.505287131934277,3.408172473002405,3.8534272835604373,5.201115170780716,9.024049090827054,3.601112486536019
auburn,16552,3659,0.2210608989850169,78411.05882352941,93681.00878706726,15269.949963537825,0.12562814070351758,6.791185385434587,0.04602942964854676,0.09175483400218898,grown,rural,0.0,1.2236906510034264,0.6099048548426446,0.0,0.0,0.6041565973900435,0.6022645145748012
avon,4468,819,0.1833034914950761,73736.25,89870.68927908503,16134.439279085018,0.0,13.286093888396811,0.08482542524619517,0.08034914950760967,grown,rural,4.557885141294439,2.2706630336058127,4.524886877828054,0.0,2.2461814914645104,2.2381378692927485,4.460303300624442
ayer,8014,1102,0.1375093586224108,76260.0,88050.46078038828,11790.46078038827,0.0,4.497398892431616,0.13423322084739409,0.0804899387576553,grown,rural,0.0,1.302325581395349,2.5765132414376946,1.2744883839487289,12.610113310875322,3.743448964312453,2.4697891858516363
barnstable,44325,11869,0.26777213761985336,70447.84210526316,96581.06305344864,26133.22094818549,9.30124942156409,5.257753752302721,0.09114004445855828,0.14578324184548383,shrunk,rural,1.112470797641562,1.7848776243278819,4.250844575698593,5.608776613645032,6.749308195909919,5.188945290468133,7.69213366213434
barre,5491,752,0.13695137497723547,70220.25,88804.5441717447,18584.2941717447,0.0,4.329349269588313,0.057212076034289974,0.11647409616101378,grown,rural,1.843463604761403,0.0,0.0,0.0,0.0,0.0,1.8167661562418895
becket,1852,421,0.22732181425485962,76042.0,88111.42338958636,12069.42338958635,0.0,6.639288158795345,0.06924754634678298,0.0916030534351145,grown,rural,0.0,0.0,0.0,5.461070369792479,0.0,0.0,0.0
bedford,14105,3078,0.21822048918823111,124504.22222222222,151027.7814162325,26523.55919401028,11.19186046511628,2.3693803159173754,0.025362582902120838,0.07900298812039938,grown,rural,1.4766374854973103,0.0,0.7262917617763021,0.7204240209952143,1.4293006636038796,1.4179369018078696,0.7033762057877813
belchertown,14906,2721,0.18254394203676372,87325.66666666667,105305.02638535477,17979.359718688116,0.0,6.400318028225005,0.0576884150867013,0.09621483030834627,grown,rural,0.6792357627332448,2.032638364597247,0.67586486564772,0.0,0.6725272613729164,2.012612370857373,4.015334754634366
