city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18
ABINGTON,0,6,1,3,5,16150.714285714286,16192.142857142857,16233.57142857143,16275,16316.42857142857
ACTON,1,2,3,0,1,22798.85714285714,23017.571428571428,23236.285714285714,23455,23673.714285714286
ACUSHNET,0,4,2,4,0,10383,10403,10423,10443,10463
ADAMS,2,3,1,0,4,8328.42857142857,8289.285714285714,8250.142857142857,8211,8171.857142857143
AGAWAM,1,2,0,4,8,27705.571428571428,27726.714285714286,27747.85714285714,27769,27790.14285714286
ALFORD,0,0,0,0,0,446.57142857142856,434.7142857142857,422.85714285714283,411,399.14285714285717
AMESBURY,0,6,1,4,6,16817.285714285714,16950.85714285714,17084.428571428572,17218,17351.571428571428
AMHERST,1,1,3,1,2,38996.71428571428,39291.142857142855,39585.57142857143,39880,40174.42857142857
ANDOVER,5,2,3,2,2,34443.28571428572,34753.857142857145,35064.42857142857,35375,35685.57142857143
AQUINNAH,0,0,0,0,0,499,546,593,640,687
ARLINGTON,5,4,2,1,2,44071.42857142857,44378.28571428572,44685.142857142855,44992,45298.857142857145
ASHBURNHAM,0,1,1,0,0,6154.714285714285,6173.142857142857,6191.571428571428,6210,6228.428571428572
ASHBY,1,0,0,1,0,3143.1428571428573,3160.4285714285716,3177.714285714286,3195,3212.285714285714
ASHFIELD,0,0,0,0,1,1657.5714285714287,1637.7142857142858,1617.857142857143,1598,1578.142857142857
ASHLAND,0,1,2,2,0,17098.714285714286,17225.14285714286,17351.571428571428,17478,17604.428571428572
ATHOL,2,2,4,5,10,11638.857142857143,11652.57142857143,11666.285714285714,11680,11693.714285714286
ATTLEBORO,15,17,23,40,16,44011.857142857145,44116.57142857143,44221.28571428572,44326,44430.71428571428
AUBURN,1,0,0,1,1,16396,16448,16500,16552,16604
AVON,2,0,1,1,2,4420,4436,4452,4468,4484
AYER,2,1,10,3,2,7762.428571428572,7846.285714285715,7930.142857142857,8014,8097.857142857143
BARNSTABLE,19,25,30,23,34,44697,44573,44449,44325,44201
BARRE,0,0,0,0,1,5451.142857142857,5464.428571428572,5477.714285714285,5491,5504.285714285715
BECKET,0,1,0,0,0,1820.7142857142858,1831.142857142857,1841.5714285714287,1852,1862.4285714285713
