town,ovr_65c,alprazolam_2013,alprazolam_2014,alprazolam_2015,alprazolam_2016,alprazolam_2017,diazepam_2013,diazepam_2014,diazepam_2015,diazepam_2016,diazepam_2017,lorazepam_2013,lorazepam_2014,lorazepam_2015,lorazepam_2016,lorazepam_2017,opi_2013,opi_2014,opi_2015,opi_2016,opi_2017,tot_benzo_2013,tot_benzo_2014,tot_benzo_2015,tot_benzo_2016,tot_benzo_2017
ABINGTON,2469,457,413,385,284,275,135,108,136,64,82,375,380,374,403,398,52298,38507,57814,60309,57473,967,901,895,751,755
ACTON,4001,179,158,209,216,235,153,126,121,123,181,717,854,829,914,1094,58631,69161,66124,69730,78818,1049,1138,1159,1253,1510
ACUSHNET,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,1764,128,155,200,235,279,71,80,101,117,97,727,715,779,893,894,37735,37971,37545,42310,44447,926,950,1080,1245,1270
AGAWAM,6195,527,703,686,538,390,144,201,225,179,164,1343,1422,1306,1282,1030,100941,98585,95356,98081,98170,2014,2326,2217,1999,1584
ALFORD,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMESBURY,2949,742,793,787,903,686,470,517,510,502,277,1317,1367,1298,1395,1086,39119,38672,35388,42607,39318,2529,2677,2595,2800,2049
AMHERST,3465,158,422,292,307,220,134,229,108,173,110,539,667,532,762,631,28530,34666,27375,39937,39816,831,1318,932,1242,961
ANDOVER,5881,298,432,734,624,585,134,182,220,149,128,651,818,1048,943,863,68409,79597,102527,115101,100736,1083,1432,2002,1716,1576
AQUINNAH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARLINGTON,8208,367,417,338,335,392,290,272,306,293,315,1104,1283,1265,1370,1456,88082,89229,95224,94719,91168,1761,1972,1909,1998,2163
ASHBURNHAM,776,12,0,11,0,0,34,31,28,0,0,212,121,186,103,95,12238,4213,6585,7267,6958,258,152,225,103,95
ASHBY,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHFIELD,340,69,125,132,78,0,74,108,96,68,0,164,238,203,138,0,14186,13943,15978,13025,NA,307,471,431,284,0
ASHLAND,2943,57,54,118,211,176,0,0,0,26,31,136,126,171,258,246,20027,21064,22398,26754,27253,193,180,289,495,453
ATHOL,2196,202,177,327,148,159,221,172,163,99,78,539,608,677,775,437,68151,67712,70033,66503,49656,962,957,1167,1022,674
ATTLEBORO,6953,787,1122,885,812,945,359,482,470,541,676,1582,2348,1993,2226,2283,173948,202082,194936,204425,214826,2728,3952,3348,3579,3904
AUBURN,3659,741,895,873,860,889,588,660,628,608,612,2663,3162,2943,2749,2808,161714,179199,165765,169516,162648,3992,4717,4444,4217,4309
AVON,819,82,50,42,18,0,11,0,0,0,0,108,69,59,52,35,6944,5965,5158,4932,4423,201,119,101,70,35
AYER,1102,63,85,34,55,65,14,58,0,49,63,292,215,84,284,290,30785,29952,20479,23298,24841,369,358,118,388,418
BARNSTABLE,11869,2025,2762,2569,3097,3279,944,1294,963,1214,1240,6037,7009,6853,8400,8619,431223,535290,562909,623234,632552,9006,11065,10385,12711,13138
BARRE,752,54,94,94,102,96,146,200,295,257,331,279,276,355,408,435,29619,31984,38554,41701,43441,479,570,744,767,862
BECKET,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEDFORD,3078,0,0,32,48,48,20,34,15,0,0,171,186,166,117,207,7545,10841,8327,9812,12185,191,220,213,165,255
BELCHERTOWN,2721,152,167,145,197,129,52,96,165,166,116,609,776,806,939,924,50765,55166,70111,46946,40454,813,1039,1116,1302,1169
BELLINGHAM,2330,91,97,78,115,49,0,58,59,51,22,83,143,154,243,170,13058,15645,17385,22185,21614,174,298,291,409,241
BELMONT,5009,514,501,1065,573,529,233,247,350,258,248,1935,1940,2549,2111,2069,63856,67649,80318,78199,82233,2682,2688,3964,2942,2846
BERKLEY,847,0,0,29,38,26,0,0,0,0,0,17,0,110,130,83,221,120,438,518,352,17,0,139,168,109
BERLIN,614,0,0,0,0,25,0,0,0,0,0,0,0,0,0,55,2546,2529,2370,2349,11746,0,0,0,0,80
BERNARDSTON,261,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,107,37,380,1747,47,0,0,0,18,0
BEVERLY,7488,756,732,763,830,829,471,362,377,380,338,2294,2192,2578,2712,2538,237253,220763,243965,256113,256083,3521,3286,3718,3922,3705
BILLERICA,7375,382,366,346,432,369,100,148,100,114,133,907,685,705,818,759,63861,59556,61866,69506,66367,1389,1199,1151,1364,1261
BLACKSTONE,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,84,106,87,133,0,0,0,0,0
BLANDFORD,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLTON,716,0,11,0,15,36,0,0,0,12,15,19,19,0,13,20,2756,3182,911,3498,2986,19,30,0,40,71
BOSTON,85040,9748,11142,11225,11780,12443,7912,8148,7883,8259,8595,37963,40405,41756,45349,46168,4400454,4583926,4753841,5198350,5442227,55623,59695,60864,65388,67206
BOURNE,4614,261,152,137,128,123,68,29,37,27,51,476,377,308,239,252,37644,24211,17219,19839,22874,805,558,482,394,426
BOXBOROUGH,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16,NA,12,17,0,0,0,0,0
BOXFORD,1698,141,101,21,58,123,63,26,0,12,21,279,221,125,177,404,9906,10498,16912,31804,35768,483,348,146,247,548
BOYLSTON,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,163,NA,26,32,0,0,0,0,0
BRAINTREE,7407,1210,1221,1189,1151,1231,541,516,467,486,576,3254,3585,3713,3901,4342,194237,200412,203209,216974,244328,5005,5322,5369,5538,6149
BREWSTER,3274,245,287,309,319,355,92,118,159,168,172,531,520,572,644,654,35906,35897,39500,40971,42323,868,925,1040,1131,1181
BRIDGEWATER,4382,743,719,444,481,440,135,154,135,120,157,582,531,338,328,403,34627,35410,33210,37846,38650,1460,1404,917,929,1000
BRIMFIELD,839,52,75,38,0,0,18,20,0,0,0,116,81,58,66,0,8666,10391,4758,3980,NA,186,176,96,66,0
BROCKTON,13445,4267,5018,5838,6202,5764,1768,1696,1673,1688,1511,7548,8071,8557,9228,8462,682343,733513,745450,781713,794773,13583,14785,16068,17118,15737
BROOKFIELD,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,67,NA,0,0,0,0,0
BROOKLINE,10353,1766,1843,2112,2105,2499,1228,1224,1098,1098,962,7177,6557,7515,8247,7831,455362,459284,508258,502763,476829,10171,9624,10725,11450,11292
BUCKLAND,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,45,58,51,30,0,0,0,0,0
BURLINGTON,6078,2620,2563,2529,2899,2922,996,1207,953,945,921,6285,6316,6135,7628,7582,547537,559438,576884,668276,690767,9901,10086,9617,11472,11425
CAMBRIDGE,14462,1557,1723,1880,1866,2009,1109,1159,1258,1211,1273,5564,6071,6566,6900,7051,518008,531021,562093,589600,600530,8230,8953,9704,9977,10333
CANTON,4471,285,359,481,581,536,115,135,163,165,183,449,596,600,739,762,40552,44415,49415,56221,62360,849,1090,1244,1485,1481
CARLISLE,1212,40,20,22,21,30,15,0,0,0,0,110,39,70,24,0,2094,1482,1269,1052,858,165,59,92,45,30
CARVER,2787,19,21,13,11,17,20,18,18,23,23,84,82,89,81,97,5776,5414,4580,4859,4904,123,121,120,115,137
CHARLEMONT,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARLTON,1741,248,323,384,271,282,107,119,117,85,86,1336,1346,1293,930,1033,64494,73930,73279,66552,76938,1691,1788,1794,1286,1401
CHATHAM,2217,250,237,255,217,254,109,110,106,116,123,616,493,449,557,617,26466,15069,14168,15330,14655,975,840,810,890,994
CHELMSFORD,7918,2488,2816,2901,3138,3121,767,825,795,757,650,4062,4238,4257,4743,4736,323000,331875,334158,374730,388131,7317,7879,7953,8638,8507
CHELSEA,4121,701,728,633,689,611,364,332,263,259,285,1503,1544,1367,1478,1441,118210,120897,115609,116057,110235,2568,2604,2263,2426,2337
CHESHIRE,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHESTER,228,54,43,42,50,62,37,34,32,32,23,101,83,80,113,130,8610,6456,5198,6939,6194,192,160,154,195,215
CHESTERFIELD,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHICOPEE,11408,439,556,621,848,696,174,242,351,310,308,2080,2266,2552,2774,2664,168445,182890,208618,234696,237431,2693,3064,3524,3932,3668
CHILMARK,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72,27,56,NA,0,0,0,0,0
CLARKSBURG,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINTON,2080,178,165,174,204,202,174,171,160,190,137,507,497,548,621,517,34806,35707,31047,33011,30384,859,833,882,1015,856
COHASSET,1327,96,76,33,106,131,45,13,12,39,28,89,112,142,137,154,14194,15061,15154,20699,20864,230,201,187,282,313
COLRAIN,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONCORD,4384,566,615,684,683,750,450,488,535,519,477,2581,2760,2913,3193,3264,186845,191350,198510,208935,205500,3597,3863,4132,4395,4491
CONWAY,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,80,56,46,49,0,0,0,0,0
CUMMINGTON,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,320,0,0,0,0,0
DALTON,1528,233,304,258,151,95,139,154,177,118,114,701,829,814,656,676,31966,33130,33229,27644,29414,1073,1287,1249,925,885
DANVERS,6258,1240,1428,1419,1820,1783,213,211,316,466,419,2474,2681,3207,4394,4369,165937,183603,183966,213085,216564,3927,4320,4942,6680,6571
