TOWN,city_death,town_1,ovr_65c,alpra_2013,alpra_2014,alpra_2015,alpra_2016,alpra_2017,diaze_2013,diaze_2014,diaze_2015,diaze_2016,diaze_2017,loraz_2013,loraz_2014,loraz_2015,loraz_2016,loraz_2017,opi_2013,opi_2014,opi_2015,opi_2016,opi_2017,tot_b_2013,tot_b_2014,tot_b_2015,tot_b_2016,tot_b_2017,eb_alpra_13,eb_alpra_14,eb_alpra_15,eb_alpra_16,eb_alpra_17,eb_diaze_13,eb_diaze_14,eb_diaze_15,eb_diaze_16,eb_diaze_17,eb_loraz_13,eb_loraz_14,eb_loraz_15,eb_loraz_16,eb_loraz_17,eb_opi_13,eb_opi_14,eb_opi_15,eb_opi_16,eb_opi_17,eb_tot_benzo_13,eb_tot_benzo_14,eb_tot_benzo_15,eb_tot_benzo_16,eb_tot_benzo_17
WELLESLEY,WELLESLEY,WELLESLEY,5264,744,722,1103,1103,1137,390,480,565,504,481,2879,3345,4177,4319,4179,184196,190796,229585,234791,229800,4013,4547,5845,5926,5797,       0.141335919522222,       0.137178617892273,       0.209471978757797,       0.209481301677579,       0.215930485886937,       0.074056474186206,       0.091102791588929,       0.107181091632947,       0.095631700259069,       0.091276571807527,       0.546611628789800,       0.635074086656563,       0.792975571001046,       0.819980568182460,       0.793428794746652,      34.991507287282310,      36.245309612499419,      43.613966769748401,      44.602975826125615,      43.654862625518284,       0.762175649205877,       0.863585997283907,       1.110033627762814,       1.125436703125595,       1.100950208456054
NEEDHAM,NEEDHAM,NEEDHAM,6009,441,346,320,322,398,255,237,266,220,197,1407,1557,1494,1599,1524,101705,102830,103806,121220,122808,2103,2140,2080,2141,2119,       0.073472092717282,       0.057692805184395,       0.053368400002961,       0.053714851297901,       0.066349907201975,       0.042501994893228,       0.039520967718316,       0.044332884976228,       0.036709098391076,       0.032892238756043,       0.234224426160135,       0.259178048287970,       0.248712679681655,       0.266189750594724,       0.253717091610681,      16.925536965772380,      17.112761087399967,      17.275185899728864,      20.173156299718528,      20.437426886010442,       0.350068010784875,       0.356236335017203,       0.346260513820665,       0.356424495418881,       0.352762690286084
PETERSHAM,PETERSHAM,PETERSHAM,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0.003607555320125,       0.003789760128772,       0.003638962355974,       0.003971417012921,       0.004033031227498,       0.003863184836300,       0.003975009734646,       0.004144552491425,       0.004399465473372,       0.004360789833701,       0.007054074621805,       0.007109889230015,       0.007056274483864,       0.007180408615517,       0.006953745325599,       0.006175351184861,       0.006136795084989,       0.006027387005203,       0.005992473393631,       0.005868970316518,       0.006362139828684,       0.006433473347694,       0.006340473728790,       0.006684834075177,       0.006564201967645
READING,READING,READING,4384,501,569,584,694,724,67,60,126,74,93,961,1089,968,1127,1019,87289,88748,90519,98836,95364,1529,1718,1678,1895,1836,       0.114322972276616,       0.129826816503887,       0.133248981893420,       0.158316315736467,       0.165148414626536,       0.015482445082136,       0.013899790049388,       0.028898218815704,       0.017102536364436,       0.021414096592197,       0.219332631154995,       0.248510077227686,       0.220958557880582,       0.257204704458622,       0.232596372421390,      19.910890480677153,      20.243698286505339,      20.647668365210674,      22.544789516430939,      21.752834040084398,       0.348896634110483,       0.391994478958531,       0.382883520680492,       0.432370493815170,       0.418919546328131
QUINCY,QUINCY,QUINCY,15971,2924,2911,3073,2997,2831,766,835,867,729,768,5703,5584,5546,5640,5214,488654,494429,492054,503119,489216,9393,9330,9486,9366,8813,       0.183062044798610,       0.182254476035466,       0.192397043624848,       0.187643766455286,       0.177254185789145,       0.047980530316745,       0.052298196444480,       0.054298842038103,       0.045670624981731,       0.048108736898329,       0.357061697193297,       0.349623093450736,       0.347249305248958,       0.353142483099867,       0.326478284556502,      30.596305819046794,      30.957902523832555,      30.809200015096813,      31.502024443938978,      30.631515045829484,       0.588110440716371,       0.584174881156873,       0.593944079495926,       0.586439183334045,       0.551820550842674
CHESTERFIELD,CHESTERFIELD,CHESTERFIELD,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0.004620416051908,       0.004854946890408,       0.004664253277180,       0.005089255735793,       0.005167610758846,       0.004899794033865,       0.005041713034079,       0.005250868380849,       0.005568838961999,       0.005519827811310,       0.009040751511655,       0.009115748255772,       0.009049332240224,       0.009211688975474,       0.008922533029184,       0.007967620286542,       0.007917899766215,       0.007776762105528,       0.007731754090804,       0.007572424944353,       0.008179420442139,       0.008272731118084,       0.008154307958990,       0.008597443577962,       0.008442757553191
SOUTHBOROUGH,SOUTHBOROUGH,SOUTHBOROUGH,1640,129,212,294,324,376,109,143,161,161,189,629,697,723,804,802,34114,34101,36730,41907,42796,867,1052,1178,1289,1367,       0.078935020250429,       0.129368316423239,       0.179183164573909,       0.197434014755290,       0.229004455593176,       0.066444307983765,       0.086974655598197,       0.097792552778339,       0.097781842502467,       0.114641351963496,       0.383205714007580,       0.424608213218014,       0.440460377426442,       0.489792511518359,       0.488591787314979,      20.801391399121744,      20.793498016851363,      22.396504367516773,      25.553159125441013,      26.095232346207080,       0.528611898044075,       0.641259094084766,       0.717976227397185,       0.785600084487333,       0.833074971878550
MILFORD,MILFORD,MILFORD,4457,1533,1608,1493,1584,1456,484,486,500,534,431,1771,2089,2031,2143,2047,144462,160160,151404,168268,166366,3788,4183,4024,4261,3934,       0.343616198348560,       0.360447225383166,       0.334717058593109,       0.355107874889290,       0.326428294509376,       0.108418697829530,       0.108873542887154,       0.111983386177001,       0.119570559819285,       0.096561365482326,       0.397209700544901,       0.468494651888726,       0.455522535356083,       0.480662274954079,       0.459154788777741,      32.412266963789854,      35.934334859318454,      33.969830137569105,      37.753526158785604,      37.326800883485809,       0.849625648848688,       0.938224254032078,       0.902599458395091,       0.955764120962410,       0.882451856332799
BOYLSTON,BOYLSTON,BOYLSTON,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,163,0,26,32,0,0,0,0,0,       0.001553477965226,       0.001631141412949,       0.001564545091977,       0.001708243842016,       0.001735155360695,       0.001697292263210,       0.001746358827153,       0.001825118230465,       0.001941017349240,       0.001923994610845,       0.003033413901709,       0.003055066793556,       0.003030455238579,       0.003081631286871,       0.002983254975958,       0.207144109531388,       0.249548674476654,       0.002557406826264,       0.041933010041971,       0.050970884551465,       0.002718727984827,       0.002748144298738,       0.002707643815982,       0.002854524798588,       0.002802707028177
PLAINVILLE,PLAINVILLE,PLAINVILLE,1666,189,231,240,293,394,74,84,106,67,80,544,586,683,831,1025,31768,33900,38036,40603,50890,807,901,1029,1191,1499,       0.113563937486109,       0.138713851952763,       0.144112749233506,       0.175833845385059,       0.236204871432625,       0.044631817342930,       0.050591130291969,       0.063642935833813,       0.040521395802308,       0.048224678507744,       0.326433000580594,       0.351631307942440,       0.409688530796982,       0.498325978260683,       0.614403724045688,      19.068668955644927,      20.348359142943057,      22.830876113529847,      24.371698795291987,      30.546177418949458,       0.484442163967798,       0.540818091833377,       0.617529923570145,       0.714652295262691,       0.899180911715207
