TOWN,t_death,tpop_17a,ovr_65c,pop16_19,p16_19_d,over25,over25schl,pov_det,pov_poor,pov_strug,pr_or_strg,pov_ok,eb_smooth_dropout,eb_over25_less_than_hsed,eb_inc_pov_rless1,eb_inc_pov_bet1and2,eb_inc_pov_rless2
WELLESLEY,WELLESLEY,29004,5264,3344,11,16139,332,24521,1075,857,1932,22589,0.003526543,0.020674109,0.043898613,0.035082424,0.07888626
NEEDHAM,NEEDHAM,30429,6009,1756,11,20270,458,29523,872,831,1703,27820,0.006655964,0.0226747,0.029595374,0.028266144,0.05777486
PETERSHAM,PETERSHAM,1218,280,60,4,906,23,1188,64,220,284,904,0.052514418,0.027065352,0.054884357,0.183433249,0.239026836
READING,READING,25769,4384,1286,41,18181,530,25576,754,1655,2409,23167,0.031762362,0.029232404,0.029548999,0.064794617,0.094273491
QUINCY,QUINCY,91519,15971,3906,150,69176,7721,90591,9141,12575,21716,68875,0.038306976,0.111609411,0.100906459,0.138805448,0.239714249
CHESTERFIELD,CHESTERFIELD,1303,217,60,0,919,82,1303,77,122,199,1104,0.009741148,0.089415288,0.059934354,0.094488705,0.15368089
SOUTHBOROUGH,SOUTHBOROUGH,10021,1640,561,0,6484,203,9893,453,449,902,8991,0.001532265,0.03152756,0.045930897,0.045676233,0.091396141
MILFORD,MILFORD,28630,4457,1197,63,19858,1614,28426,2244,3373,5617,22809,0.051938324,0.081294606,0.078965977,0.118667729,0.197621403
BOYLSTON,BOYLSTON,4524,660,274,0,3171,109,4510,184,405,589,3921,0.002962303,0.034800976,0.041130195,0.090083652,0.130950714
PLAINVILLE,PLAINVILLE,9000,1666,383,12,6440,211,9000,557,515,1072,7928,0.030997479,0.032980322,0.062005567,0.05749442,0.119306963
NEW BEDFORD,NEW BEDFORD,94459,15759,4605,393,64569,16758,92726,21135,20077,41212,51514,0.084921757,0.259482016,0.227902608,0.216484369,0.444415568
MARBLEHEAD,MARBLEHEAD,20393,5386,1062,0,14727,347,20276,930,1149,2079,18197,0.000831532,0.023670445,0.045935799,0.056790053,0.102634305
LONGMEADOW,LONGMEADOW,15876,3607,1055,34,10941,396,15147,549,798,1347,13800,0.032072055,0.036314885,0.036350403,0.05285645,0.08907486
GRANVILLE,GRANVILLE,1660,302,89,0,1208,49,1644,138,108,246,1398,0.007435388,0.041562624,0.084290056,0.06697606,0.150422842
WEBSTER,WEBSTER,16926,3342,756,88,11873,1774,16514,1987,3103,5090,11424,0.112614459,0.149320052,0.120310127,0.187765703,0.308158241
SOUTHBRIDGE,SOUTHBRIDGE,16858,2692,834,36,11682,2087,16651,3085,3563,6648,10003,0.042547851,0.178500756,0.185178799,0.213790553,0.399108682
SALISBURY,SALISBURY,9021,1941,364,8,6664,465,8983,871,1356,2227,6756,0.022416579,0.069867265,0.096994408,0.150850603,0.247893872
AMHERST,AMHERST,39880,3465,9642,0,12760,637,23602,7842,3509,11351,12251,9.41507E-05,0.050001968,0.332059424,0.148638698,0.480778391
CONCORD,CONCORD,19357,4384,812,0,13925,752,17408,1088,613,1701,15707,0.001077397,0.054070888,0.062559641,0.035400086,0.097833485
WINDSOR,WINDSOR,909,184,44,0,696,10,909,50,58,108,801,0.011751799,0.016870283,0.056295269,0.06615848,0.120727528
TAUNTON,TAUNTON,56826,10315,2287,132,40151,6449,56254,7747,9320,17067,39187,0.057276458,0.160584626,0.137704499,0.165651482,0.30337393
WAREHAM,WAREHAM,22535,5681,657,1,16537,1423,22233,2599,2880,5479,16754,0.002767431,0.086064288,0.116892665,0.129530789,0.246428852
NORTH BROOKFIELD,NORTH BROOKFIELD,5927,1019,250,12,4187,346,5894,374,852,1226,4668,0.045538667,0.082712592,0.063626635,0.144438694,0.208080903
CHARLTON,CHARLTON,13379,1741,552,0,9236,397,13220,618,832,1450,11770,0.001555817,0.043111104,0.046851335,0.063104986,0.109826408
RANDOLPH,RANDOLPH,33704,6021,1497,3,23957,3473,33293,3773,4132,7905,25388,0.002555318,0.144925159,0.113325654,0.124111765,0.237436932
SHEFFIELD,SHEFFIELD,3190,897,227,0,2550,219,3190,278,506,784,2406,0.003496735,0.085979203,0.08730666,0.158252248,0.245725153
NEWBURYPORT,NEWBURYPORT,17890,3784,642,9,13547,425,17605,1226,1706,2932,14673,0.014671675,0.031477506,0.069689608,0.096962782,0.166603354
MAYNARD,MAYNARD,10560,1946,349,25,7813,302,10481,848,651,1499,8982,0.067738168,0.0388157,0.080969751,0.062329531,0.143154695
TEWKSBURY,TEWKSBURY,30666,6392,1622,48,22066,1358,30095,1621,2054,3675,26420,0.02954423,0.061577755,0.053903427,0.068319001,0.122170448
FITCHBURG,FITCHBURG,40666,6653,2830,106,25936,4564,38780,6961,6785,13746,25034,0.03733555,0.175906152,0.179461955,0.174915553,0.354415425
LANCASTER,LANCASTER,7978,1380,596,33,5674,720,6627,351,151,502,6125,0.05386827,0.126782594,0.053152213,0.023340663,0.076114626
DIGHTON,DIGHTON,7438,1335,420,0,5308,305,7372,286,680,966,6406,0.002008652,0.057622512,0.039004707,0.092402852,0.131251113
CHELSEA,CHELSEA,39272,4121,1656,179,25845,7804,38847,7586,9746,17332,21515,0.106486662,0.301782912,0.195232498,0.250765727,0.446079567
