TOWN,eb_rate_estimate,year,drug
ABINGTON,0.184961474436245,2013,alprazolam
ABINGTON,0.167231089160051,2014,alprazolam
ABINGTON,0.155939161912454,2015,alprazolam
ABINGTON,0.11516936746505,2016,alprazolam
ABINGTON,0.111536197246043,2017,alprazolam
ABINGTON,0.054749558609718,2013,diazepam
ABINGTON,0.043905870014233,2014,diazepam
ABINGTON,0.055160157368344,2015,diazepam
ABINGTON,0.026243220663415,2016,diazepam
ABINGTON,0.033470184263572,2017,diazepam
ABINGTON,0.152289593909042,2013,lorazepam
ABINGTON,0.154338658845257,2014,lorazepam
ABINGTON,0.15192375947246,2015,lorazepam
ABINGTON,0.163677000464346,2016,lorazepam
ABINGTON,0.161641900527042,2017,lorazepam
ABINGTON,0.39182265533815003,2013,tot_benzo
ABINGTON,0.365165688960807,2014,tot_benzo
ABINGTON,0.362748590461433,2015,tot_benzo
ABINGTON,0.30454454496827,2016,tot_benzo
ABINGTON,0.30615526155717,2017,tot_benzo
ABINGTON,21.181958448649194,2013,tot_opioid
ABINGTON,15.596469076111816,2014,tot_opioid
ABINGTON,23.41603988697674,2015,tot_opioid
ABINGTON,24.426588487936456,2016,tot_opioid
ABINGTON,23.277982563702118,2017,tot_opioid
ACTON,0.044914982966054,2013,alprazolam
ACTON,0.039691243158691,2014,alprazolam
ACTON,0.052411155470665,2015,alprazolam
ACTON,0.054178799153175,2016,alprazolam
ACTON,0.058922309680022,2017,alprazolam
ACTON,0.038357460453565,2013,diazepam
ACTON,0.031647432106487,2014,diazepam
ACTON,0.030407670463806,2015,diazepam
ACTON,0.030917502379337,2016,diazepam
ACTON,0.045338697334688,2017,diazepam
ACTON,0.179410515758222,2013,lorazepam
ACTON,0.213618657892755,2014,lorazepam
ACTON,0.207389245090386,2015,lorazepam
ACTON,0.228629916297233,2016,lorazepam
ACTON,0.273550764583795,2017,lorazepam
ACTON,0.262402035899095,2013,tot_benzo
ACTON,0.284645106736574,2014,tot_benzo
ACTON,0.289892816167023,2015,tot_benzo
ACTON,0.31339470553473,2016,tot_benzo
ACTON,0.377573882885025,2017,tot_benzo
ACTON,14.654263857107493,2013,tot_opioid
ACTON,17.286070946210547,2014,tot_opioid
ACTON,16.527028127067407,2015,tot_opioid
ACTON,17.42830718281239,2016,tot_opioid
ACTON,19.699709948963065,2017,tot_opioid
ACUSHNET,4.25188687471e-4,2013,alprazolam
ACUSHNET,4.463254984e-4,2014,alprazolam
ACUSHNET,4.27849233242e-4,2015,alprazolam
