city_death,tot_pop_17,over_65_count,civ_pop_16_19,civ_pop_16_19_drop,pop_over_25,pop_over_25_less_school,pop_det_poverty,pop_doing_poorly,pop_struggling,pop_poor_or_strug,pop_doing_ok,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error,pop_density,med_house_inc,mean_house_inc
ABINGTON,16275,2469,753,26,11377,615,16194,579,1626,2205,13989,15985.0,15985.0,0.0,0.0,1932.96913,87156.0,98809.03550508946
ACTON,23455,4001,1476,18,16161,397,23307,893,973,1866,21441,21924.0,21924.0,0.0,0.0,1257.5835933333333,139890.46666666667,156680.2038667132
ACUSHNET,10443,2431,564,62,7635,1397,10336,422,1844,2266,8070,10303.0,10303.0,0.0,0.0,1152.3578714285716,69624.71428571429,80333.1758415636
ADAMS,8211,1764,333,23,6095,723,8209,910,1187,2097,6112,8485.0,8485.0,0.0,0.0,1982.31884,48445.4,60968.59465971087
AGAWAM,27769,6195,1177,0,20674,1602,26925,2553,3841,6394,20531,28438.0,27621.0,-817.0,2.8729165201490967,1897.2735687500003,65490.125,79464.23444558342
ALFORD,411,219,11,0,344,5,411,20,10,30,381,494.0,494.0,0.0,0.0,35.74524,105625.0,148519.270833333
AMESBURY,17218,2949,899,39,12292,707,16992,835,1533,2368,14624,16283.0,16283.0,0.0,0.0,2659.783186666666,86335.33333333333,96920.17138143258
AMHERST,39880,3465,9642,0,12760,637,23602,7842,3509,11351,12251,37819.0,37819.0,0.0,0.0,3464.2671318181824,61203.94736842105,76166.45394901112
ANDOVER,35375,5881,2351,31,23207,610,34036,1512,1498,3010,31026,33201.0,33201.0,0.0,0.0,1920.0495299999998,135314.05,174570.49906727744
AQUINNAH,640,66,55,8,331,32,640,139,32,171,469,311.0,311.0,0.0,0.0,120.0165,80250.0,103304.316546763
ARLINGTON,44992,8208,1614,34,33199,986,44689,2313,2988,5301,39388,42844.0,42844.0,0.0,0.0,9999.961454545453,117226.48837209302,141678.55759841323
ASHBURNHAM,6210,776,290,48,4057,115,6072,290,397,687,5385,6081.0,6081.0,0.0,0.0,292.181324,86149.8,99282.09876598573
ASHBY,3195,496,207,0,2338,196,3157,248,196,444,2713,3074.0,3074.0,0.0,0.0,141.8231,93522.0,103872.60450834001
ASHFIELD,1598,340,93,0,1236,30,1598,123,172,295,1303,1737.0,1737.0,0.0,0.0,40.00308,72415.0,93013.58510023926
ASHLAND,17478,2943,867,0,12417,468,17429,555,1274,1829,15600,16593.0,16593.0,0.0,0.0,1750.2759555555556,105871.77777777778,126114.49357549782
ATHOL,11680,2196,613,16,8465,1075,11510,1693,1905,3598,7912,11584.0,11584.0,0.0,0.0,1265.4741374999999,54531.71428571428,61648.84684156779
ATTLEBORO,44326,6953,1963,18,30765,3347,43807,4013,5704,9717,34090,43593.0,43593.0,0.0,0.0,3040.559063333333,75340.53571428571,86561.72830727945
AUBURN,16552,3659,796,1,12207,829,16446,757,1509,2266,14180,16188.0,16188.0,0.0,0.0,1612.3079294117647,78411.05882352941,93681.00878706726
