,town,x,y,2014,2015,2016,2017,2018
0,wellesley,217690.19579170892,894891.5950843323,0,1,0,0,0
1,needham,221355.87556938585,892354.0696830458,0,1,2,1,0
2,petersham,140689.07013472758,912377.8571259939,0,0,0,0,0
3,reading,232402.4736498598,920575.007120782,2,2,4,4,1
4,quincy,239580.36438590323,889002.184692865,39,43,36,37,35
5,chesterfield,89287.96311392296,904915.2910929121,0,0,0,0,0
6,southborough,197554.29110840918,894522.0312550691,1,0,1,0,0
7,milford,198448.36278268875,878453.5574543076,14,9,20,14,16
8,boylston,181773.5415283675,900671.1411236807,0,1,0,0,0
9,plainville,213550.55302242708,862649.341461342,3,2,1,2,0
10,new bedford,246291.61816135125,824706.8635074212,38,64,63,56,62
11,marblehead,252274.18429615546,916688.8492685677,0,0,2,3,1
12,longmeadow,111262.48519314958,866909.1701796972,0,0,3,0,2
13,granville,83456.84109868965,871103.3071269242,0,0,0,0,0
14,webster,171152.45481985473,866910.745862431,5,6,5,9,9
15,southbridge,155820.3241010194,867919.6872854187,4,4,14,7,9
16,salisbury,252154.13343804298,955603.211611225,3,7,8,9,6
17,amherst,117063.2179678595,902039.9104507389,1,1,3,1,2
18,concord,211196.3887342512,912390.9533985916,1,3,2,3,4
19,windsor,73172.57650821796,919266.9985499395,0,0,0,0,0
20,taunton,233660.54374341285,850445.9276383138,23,18,44,31,37
21,wareham,266366.63284271717,835737.4984455137,12,13,17,19,18
22,north brookfield,152321.62352958333,891164.4911689954,1,0,2,1,0
23,charlton,161306.9590791027,876179.0065173769,0,0,1,3,0
24,randolph,236850.7195328682,880919.0860403114,5,4,7,3,4
25,sheffield,46163.88453827437,874081.3644710119,0,0,0,0,1
26,newburyport,249467.68567472819,951444.1084300037,5,4,11,7,7
27,maynard,203612.07031661927,908431.3256234949,1,1,0,1,1
28,tewksbury,222332.19778002764,929087.5453946048,1,6,12,10,5
29,fitchburg,174095.95274841232,926789.1199422354,8,10,11,16,11
30,lancaster,185131.85085333613,914589.7439981014,1,1,1,3,0
31,dighton,228576.5365611556,842967.0349166328,0,0,2,1,1
32,chelsea,238482.11688001608,905213.9904513304,8,11,10,9,13
33,athol,141085.98717689217,926198.2598223002,2,2,4,5,10
34,cheshire,64420.97263247382,925011.5792861455,0,0,0,0,3
35,essex,259105.31435761513,931526.95386103,0,0,0,0,0
36,ware,135306.97053642842,892537.464662814,8,3,10,5,4
37,nantucket,319525.4046046167,781942.834173537,2,1,2,1,2
38,egremont,39769.19088234025,881800.9898846085,0,0,0,0,0
39,deerfield,108817.90666472932,919644.4070309305,0,0,0,0,0
40,conway,100851.19383308361,918211.891677539,0,0,0,0,0
41,dalton,64066.09154106638,915649.6413714229,0,0,1,0,0
42,peabody,243337.47199293823,920463.9973214924,10,13,11,12,9
43,agawam,104614.5364754801,869014.2621488129,1,2,0,4,8
44,medfield,216108.78327159517,881615.2783541816,0,0,1,0,1
45,worcester,174596.33622011245,891164.1728770736,86,120,109,118,134
46,swampscott,248785.3219080867,914078.5382529541,2,1,3,1,1
47,wayland,211585.06935081267,900902.3068637337,0,0,1,1,1
48,falmouth,275670.19241982297,816337.8222564029,14,17,18,21,9
49,hubbardston,158468.84925105484,914929.195681839,1,0,0,0,1
50,fairhaven,252332.25729730134,821240.9239007538,1,5,5,4,3
51,sandwich,284468.1241867545,829726.6109158797,0,2,4,1,4
52,marshfield,264897.5284788007,873946.8405910541,2,0,2,6,5
53,goshen,92520.52011380301,911040.619445435,1,0,0,0,0
54,northborough,187948.01519205316,896971.8076936257,0,0,1,0,0
55,acushnet,249835.58643435428,829479.7556777025,0,4,2,4,0
56,marion,261172.95938525882,829046.2980077002,1,0,1,1,1
57,burlington,224437.7277824896,916888.0061714998,9,9,13,16,20
58,lenox,53732.360729145184,903871.0370552527,0,0,0,1,1
59,hawley,84548.99539979952,926986.4159968167,0,0,0,0,0
60,becket,69424.72608245171,893934.0085929496,0,1,0,0,0
61,great barrington,47945.18767596228,886145.248480406,2,1,1,0,0
62,rowe,84236.15610708845,939636.8444307344,0,0,0,0,0
63,middlefield,75122.68618269508,901209.6268361275,0,0,0,0,0
64,groton,194961.46753932416,929235.4611932451,0,1,0,1,0
65,truro,318839.2090953957,863291.6842102724,0,0,1,0,0
66,winchendon,155013.6131939462,935276.4203224498,0,0,2,1,3
67,wellfleet,323207.77520543843,853920.2491011599,0,0,0,1,0
68,ashburnham,165136.9371512632,934353.9691756004,0,1,1,0,0
69,amesbury,245392.84016196345,955962.9351352989,0,6,1,4,6
70,hancock,50497.73492858843,921673.0921211998,0,0,1,0,0
71,westborough,190591.9968606395,890858.574606557,0,2,0,2,1
72,nahant,247227.3334365937,908869.872332241,0,0,0,1,0
73,wenham,250664.34437396075,927987.1266288213,0,1,0,1,2
74,west bridgewater,239199.9537052388,863553.8132734719,3,0,1,1,2
75,carlisle,212219.33721183625,919950.8555537614,0,0,0,0,0
76,saugus,239837.04540559466,913273.2132680793,7,2,8,4,11
77,lexington,222154.6155607919,910602.333033756,3,4,0,0,1
78,lanesborough,57108.07408034225,921588.6519628577,0,1,1,0,1
79,plainfield,82980.88532711587,919581.9016749624,0,0,0,0,0
80,sturbridge,151167.30347292247,873186.4408671667,1,1,1,3,0
81,belmont,226387.1931682221,905102.3765444726,1,1,1,2,1
82,gosnold,258672.91256811365,801837.9756033112,0,0,0,0,0
83,peru,73280.41796138011,909897.1536369316,0,0,0,1,0
84,sherborn,210291.59094407843,887086.0955855139,1,1,1,1,1
85,middleborough,251928.53914112912,847966.7639453294,3,6,3,5,4
86,fall river,233378.44399572676,829317.6712578008,49,43,85,64,67
87,warwick,131104.02300955745,936616.4236079474,0,0,0,0,0
88,milton,234307.56488447686,887950.3713830174,1,6,6,2,5
89,adams,67220.12690379609,931958.1415797122,2,3,1,0,4
90,millis,211356.38669623464,879884.3683420225,2,0,3,1,1
91,brimfield,141610.7429073794,875598.559803578,0,0,0,0,2
92,west stockbridge,44338.75039291705,897252.0109652183,0,0,0,0,1
93,danvers,245128.03880411107,925051.7493863957,3,7,3,3,4
94,otis,69061.45280310238,884919.3081004467,0,0,1,0,0
95,colrain,100273.9745135221,937686.2708187031,0,0,0,0,0
96,northfield,122462.36837245538,936561.7269583608,0,0,0,0,1
97,plympton,257219.66732065936,857241.5897003352,0,1,2,1,0
98,berkley,235402.13330711363,842972.7143657354,1,0,2,2,1
99,kingston,262282.8012214708,859802.2106618547,1,1,0,5,2
100,montague,116422.9196553917,923201.2076939914,3,2,3,0,1
101,tyngsborough,205815.1130617024,935062.495421418,1,2,1,2,4
102,malden,236406.39956804097,908981.9344144374,5,12,8,9,13
103,stoneham,233125.47151068773,913805.777634096,4,5,6,2,4
104,northampton,103194.5899724915,898016.0878558549,11,3,14,8,13
105,braintree,241080.13645048317,883801.715330898,4,7,7,10,6
106,scituate,261040.64816614924,883443.3229430306,1,4,2,0,1
107,bellingham,202144.82326417163,869705.452712465,2,2,1,1,2
108,dunstable,199955.41040794688,936203.0441503107,0,0,0,0,0
109,savoy,75291.62654876662,928411.0542470859,0,0,0,0,0
110,arlington,227662.04739032369,907625.693578489,5,4,2,1,2
111,hardwick,141091.1809529819,900722.1853394873,0,2,1,0,0
112,mount washington,37356.6629214741,873379.3830650038,0,0,0,0,0
113,ashby,173509.91592031842,936267.7500178386,1,0,0,1,0
114,hull,250927.30164299594,893195.3121649963,1,4,3,6,3
115,lawrence,227643.87693540895,938904.8535483875,27,43,60,50,62
116,ludlow,120868.57824190342,882851.0953522085,1,0,3,6,3
117,norfolk,214097.3315348453,874002.5916635494,1,1,0,0,1
118,whitman,246342.88494778573,870106.5432749183,1,3,1,1,1
119,clarksburg,68232.87481901354,943028.430506038,0,0,0,1,0
120,paxton,164300.271917076,895696.0941669608,1,0,0,0,0
121,westfield,96163.41687758402,877182.7946535981,8,4,16,8,16
