town,x,y
wellesley,-73.6521688709407,34.24474844151052
needham,-73.65216838770336,34.24474824670703
petersham,-73.65217897342059,34.24474961813453
reading,-73.65216699954836,34.244750542487346
quincy,-73.65216600598622,34.24474802070611
chesterfield,-73.65218565770209,34.244748827652764
southborough,-73.6521714960558,34.24474835855299
milford,-73.65217133979093,34.244747069272314
boylston,-73.6521735708682,34.24474880785998
plainville,-73.65216934009042,34.24474583871421
new bedford,-73.65216502918089,34.2447428658564
marblehead,-73.65216439269288,34.244750274865474
longmeadow,-73.65218263398155,34.24474585902716
granville,-73.65218626327209,34.24474608779051
webster,-73.6521748565912,34.244746062262436
southbridge,-73.6521768510813,34.24474609527562
salisbury,-73.65216446546137,34.244753403334116
amherst,-73.65218202054025,34.24474870353944
concord,-73.65216975691798,34.24474983168933
windsor,-73.65218782993624,34.24474991437078
taunton,-73.65216670747324,34.244744906872235
wareham,-73.65216245042218,34.24474379426669
north brookfield,-73.65217738284234,34.244747952137125
charlton,-73.65217616452891,34.24474677666728
randolph,-73.65216634763996,34.24474736449925
sheffield,-73.65219112229164,34.24474616805516
newburyport,-73.65216481256923,34.24475306310447
maynard,-73.65217073914954,34.24474949323425
tewksbury,-73.65216833508826,34.24475120231876
fitchburg,-73.65217464933446,34.24475088420121
lancaster,-73.65217317043822,34.244749936528414
dighton,-73.65216735178625,34.24474429354542
chelsea,-73.65216617724762,34.244749321634906
athol,-73.65217897082259,34.244750730053376
cheshire,-73.65218900290263,34.24475033863577
essex,-73.65216351886288,34.24475148232184
ware,-73.6521796050826,34.24474800511497
nantucket,-73.65215556027208,34.24473955553036
egremont,-73.65219199471414,34.24474675915775
deerfield,-73.65218316929618,34.2447500871318
conway,-73.65218420526773,34.244749941531765
dalton,-73.65218900259131,34.24474958530761
peabody,-73.65216556811504,34.244750558776964
agawam,-73.65218350598069,34.24474600311056
medfield,-73.65216904879568,34.24474737016059
worcester,-73.65217447990074,34.24474802226818
swampscott,-73.65216484516067,34.2447500574346
wayland,-73.65216968059462,34.244748909160094
