city_death,2012,2013,2014,2015,2016,2017,2018
abington,1,2,0,6,1,3,5
acton,2,0,1,2,3,0,1
acushnet,2,0,0,4,2,4,0
adams,1,1,2,3,1,0,4
agawam,1,3,1,2,0,4,8
alford,0,0,0,0,0,0,0
amesbury,1,1,0,6,1,4,6
amherst,0,2,1,1,3,1,2
andover,1,4,5,2,3,2,2
aquinnah,0,0,0,0,0,0,0
arlington,4,3,5,4,2,1,2
ashburnham,0,0,0,1,1,0,0
ashby,0,0,1,0,0,1,0
ashfield,0,0,0,0,0,0,1
ashland,1,0,0,1,2,2,0
athol,2,2,2,2,4,5,10
attleboro,4,11,15,17,23,40,16
auburn,0,2,1,0,0,1,1
avon,2,1,2,0,1,1,2
ayer,0,1,2,1,10,3,2
barnstable,5,8,19,25,30,23,34
barre,1,0,0,0,0,0,1
becket,0,0,0,1,0,0,0
bedford,2,0,1,1,2,2,1
belchertown,1,3,1,0,1,3,6
bellingham,3,1,2,2,1,1,2
belmont,0,0,1,1,1,2,1
berkley,2,1,1,0,2,2,1
berlin,0,0,0,1,0,0,0
bernardston,2,0,0,0,0,0,0
beverly,7,4,12,14,28,17,12
billerica,1,3,6,7,9,8,8
blackstone,0,0,0,1,3,1,0
blandford,0,0,0,0,0,0,0
bolton,0,0,0,0,1,1,0
boston,62,81,167,226,259,279,245
bourne,4,2,2,4,6,1,4
boxborough,0,0,0,0,0,1,0
boxford,0,0,0,0,0,0,0
boylston,0,0,0,1,0,0,0
braintree,3,3,4,7,7,10,6
brewster,1,1,0,1,1,1,0
bridgewater,2,5,1,4,2,5,1
brimfield,0,0,0,0,0,0,2
brockton,9,27,45,88,69,71,51
brookfield,0,1,0,0,0,2,1
brookline,0,1,0,3,2,4,3
buckland,0,1,0,0,0,0,0
burlington,3,3,9,9,13,16,20
cambridge,5,5,18,24,41,21,19
canton,1,4,2,3,4,4,1
carlisle,0,0,0,0,0,0,0
carver,4,2,3,5,1,3,1
charlemont,0,0,0,0,0,0,0
charlton,1,1,0,0,1,3,0
chatham,0,0,1,1,0,0,0
chelmsford,0,3,1,3,3,5,3
chelsea,2,7,8,11,10,9,13
cheshire,0,0,0,0,0,0,3
chester,0,0,0,0,0,0,0
chesterfield,0,0,0,0,0,0,0
chicopee,9,9,5,8,16,10,17
chilmark,0,0,1,0,0,0,0
clarksburg,1,1,0,0,0,1,0
clinton,3,2,5,8,6,2,6
cohasset,0,0,2,0,1,0,0
colrain,0,0,0,0,0,0,0
concord,0,0,1,3,2,3,4
conway,0,0,0,0,0,0,0
cummington,0,0,0,0,0,0,0
dalton,1,0,0,0,1,0,0
danvers,4,6,3,7,3,3,4
dartmouth,2,2,3,3,7,3,4
dedham,2,3,2,2,4,0,6
deerfield,0,0,0,0,0,0,0
dennis,2,3,4,3,4,2,2
dighton,0,1,0,0,2,1,1
douglas,1,0,0,2,2,1,1
dover,0,0,0,0,0,0,0
dracut,3,6,3,7,4,3,7
dudley,1,3,1,1,1,1,3
dunstable,1,1,0,0,0,0,0
duxbury,2,0,0,0,2,0,0
east bridgewater,0,4,0,0,1,1,3
east brookfield,0,0,0,0,0,0,0
east longmeadow,3,5,0,1,1,2,0
eastham,0,2,2,1,0,1,0
easthampton,3,6,2,1,2,2,4
easton,1,2,4,4,3,3,4
edgartown,0,0,0,0,0,0,1
egremont,0,0,0,0,0,0,0
erving,0,1,0,0,0,0,0
essex,1,0,0,0,0,0,0
everett,9,5,35,43,40,34,28
fairhaven,1,4,1,5,5,4,3
fall river,22,28,49,43,85,64,67
falmouth,4,6,14,17,18,21,9
fitchburg,4,6,8,10,11,16,11
florida,0,0,0,0,0,0,0
foxborough,0,1,1,1,5,1,3
framingham,6,3,13,17,20,14,25
franklin,1,2,1,1,5,1,4
freetown,1,0,0,3,0,3,1
gardner,1,4,5,7,10,9,23
georgetown,0,1,0,1,1,1,1
gill,0,0,1,0,0,0,0
gloucester,1,5,3,11,9,17,16
goshen,0,0,1,0,0,0,0
gosnold,0,0,0,0,0,0,0
grafton,0,3,1,2,0,0,2
granby,0,2,1,0,1,0,0
granville,0,0,0,0,0,0,0
great barrington,0,0,2,1,1,0,0
greenfield,4,4,4,10,5,4,11
groton,0,1,0,1,0,1,0
groveland,0,1,0,0,1,1,0
hadley,0,0,1,0,2,0,1
halifax,1,4,0,0,0,1,2
hamilton,0,1,0,0,1,0,1
hampden,0,0,0,0,0,0,1
hancock,0,0,0,0,1,0,0
hanover,1,1,1,0,1,1,0
hanson,1,1,0,4,0,0,2
hardwick,0,0,0,2,1,0,0
harvard,0,1,0,0,0,0,1
harwich,2,2,0,3,1,1,1
hatfield,0,2,2,1,0,1,0
haverhill,11,8,30,25,37,24,24
hawley,0,0,0,0,0,0,0
heath,0,0,0,0,0,0,0
hingham,2,1,0,0,1,0,0
hinsdale,0,0,1,0,0,0,0
holbrook,1,4,2,3,1,5,4
holden,1,0,2,1,2,0,1
holland,0,0,0,0,0,0,0
holliston,0,1,0,1,1,0,1
holyoke,5,8,14,13,13,16,29
hopedale,0,0,0,0,2,0,1
hopkinton,1,0,1,3,1,3,3
hubbardston,0,0,1,0,0,0,1
hudson,2,1,0,4,2,2,3
hull,1,0,1,4,3,6,3
huntington,0,0,0,0,0,0,1
ipswich,3,1,3,3,2,4,4
kingston,0,0,1,1,0,5,2
lakeville,0,1,0,0,1,1,1
lancaster,2,0,1,1,1,3,0
lanesborough,0,0,0,1,1,0,1
lawrence,6,9,27,43,60,50,62
lee,0,0,0,1,0,2,1
leicester,0,2,0,1,1,2,2
lenox,0,1,0,0,0,1,1
leominster,4,6,20,22,30,28,24
leverett,0,0,0,0,0,1,0
lexington,0,1,3,4,0,0,1
leyden,0,0,0,0,0,0,0
lincoln,0,0,0,0,0,0,0
littleton,0,0,0,0,0,1,0
longmeadow,1,2,0,0,3,0,2
lowell,8,24,53,67,78,59,72
ludlow,1,2,1,0,3,6,3
lunenburg,1,2,1,0,0,0,1
lynn,21,25,42,42,45,65,48
lynnfield,0,0,2,2,0,3,2
malden,9,12,5,12,8,9,13
manchester,0,0,0,0,0,0,0
mansfield,0,4,1,1,6,4,2
marblehead,2,2,0,0,2,3,1
marion,0,0,1,0,1,1,1
marlborough,2,2,9,7,6,3,22
marshfield,4,4,2,0,2,6,5
mashpee,0,5,1,2,4,1,0
mattapoisett,0,0,0,0,2,1,4
maynard,2,0,1,1,0,1,1
medfield,0,0,0,0,1,0,1
medford,10,9,14,14,15,14,6
medway,0,1,0,1,1,0,2
melrose,1,4,12,17,21,19,19
mendon,0,2,0,1,0,0,1
merrimac,0,1,0,1,0,1,0
methuen,0,6,20,12,14,14,11
middleborough,4,5,3,6,3,5,4
middlefield,1,0,0,0,0,0,0
middleton,0,0,0,1,0,1,1
milford,4,2,14,9,20,14,16
millbury,1,2,0,1,3,2,3
millis,0,1,2,0,3,1,1
millville,0,0,1,0,0,0,0
milton,1,0,1,6,6,2,5
monroe,0,0,0,0,0,0,0
monson,1,2,0,0,0,1,1
montague,0,0,3,2,3,0,1
monterey,0,0,0,0,0,0,0
montgomery,0,0,0,0,0,0,0
mount washington,0,0,0,0,0,0,0
nahant,0,0,0,0,0,1,0
nantucket,0,1,2,1,2,1,2
natick,0,3,4,2,2,7,1
needham,0,0,0,1,2,1,0
new ashford,0,0,0,0,0,0,0
new bedford,25,27,38,64,63,56,62
new braintree,0,0,0,0,0,0,0
new marlborough,0,0,1,0,0,0,0
new salem,0,0,0,2,0,0,0
newbury,0,1,2,1,0,1,0
newburyport,1,2,5,4,11,7,7
newton,5,1,5,10,15,11,3
norfolk,1,0,1,1,0,0,1
north adams,4,1,7,6,4,5,4
north andover,2,1,2,1,1,1,1
north attleboro,5,5,1,6,4,4,3
north brookfield,2,0,1,0,2,1,0
north reading,0,1,2,0,1,3,1
northampton,1,3,11,3,14,8,13
northborough,1,0,0,0,1,0,0
northbridge,2,1,2,1,1,3,3
northfield,0,0,0,0,0,0,1
norton,4,4,3,1,1,3,4
norwell,1,1,1,3,1,1,1
norwood,2,1,9,17,14,17,12
oak bluffs,0,1,0,2,1,1,1
oakham,0,0,0,0,0,0,0
orange,2,2,0,1,1,1,2
orleans,0,1,0,0,1,0,3
otis,0,0,0,0,1,0,0
oxford,3,1,2,1,3,1,0
palmer,2,1,4,2,5,6,7
paxton,1,1,1,0,0,0,0
peabody,3,12,10,13,11,12,9
pelham,0,0,0,0,0,0,0
pembroke,4,1,3,2,5,1,0
pepperell,1,1,1,2,2,1,2
peru,0,0,0,0,0,1,0
petersham,0,1,0,0,0,0,0
phillipston,1,0,0,0,0,0,0
pittsfield,8,14,14,19,22,14,21
plainfield,0,0,0,0,0,0,0
plainville,2,1,3,2,1,2,0
plymouth,6,6,19,21,26,23,15
plympton,0,0,0,1,2,1,0
princeton,1,1,1,1,1,0,1
provincetown,0,0,2,1,0,1,0
quincy,23,26,39,43,36,37,35
randolph,4,5,5,4,7,3,4
raynham,1,2,1,1,0,2,1
reading,1,1,2,2,4,4,1
rehoboth,0,0,0,1,0,0,2
revere,11,15,12,8,17,12,9
richmond,0,1,0,0,0,0,0
rochester,0,0,1,0,0,0,0
rockland,1,3,2,3,10,10,8
rockport,2,0,1,2,0,1,3
rowe,0,0,0,0,0,0,0
rowley,1,2,0,0,0,2,1
royalston,0,1,0,0,0,0,0
russell,0,0,0,0,0,0,0
rutland,1,0,0,0,0,0,1
salem,5,6,21,26,29,40,36
salisbury,3,1,3,7,8,9,6
sandisfield,0,0,0,0,0,0,0
sandwich,1,2,0,2,4,1,4
saugus,9,6,7,2,8,4,11
savoy,0,0,0,0,0,0,0
scituate,1,1,1,4,2,0,1
seekonk,0,0,2,1,1,1,1
sharon,2,3,1,0,1,1,1
sheffield,0,0,0,0,0,0,1
shelburne,0,0,1,0,0,0,0
sherborn,0,0,1,1,1,1,1
shirley,1,0,1,0,0,1,0
shrewsbury,0,6,1,1,3,7,5
shutesbury,0,0,0,0,0,0,0
somerset,2,1,1,1,1,2,2
somerville,4,8,14,15,19,12,8
south hadley,1,4,0,1,2,1,0
southampton,0,1,0,0,1,0,0
southborough,0,0,1,0,1,0,0
southbridge,2,2,4,4,14,7,9
southwick,1,0,1,0,0,2,3
spencer,0,1,0,7,2,1,1
springfield,22,22,31,65,75,56,108
sterling,1,1,0,0,1,0,1
stockbridge,0,1,0,0,0,2,1
stoneham,2,2,4,5,6,2,4
stoughton,4,7,3,4,7,5,7
stow,0,0,0,0,0,0,0
sturbridge,0,1,1,1,1,3,0
sudbury,1,0,0,0,0,0,0
sunderland,0,1,0,0,1,1,1
sutton,0,0,0,0,0,0,2
swampscott,0,3,2,1,3,1,1
swansea,4,4,0,0,0,3,2
taunton,14,13,23,18,44,31,37
templeton,1,1,1,1,3,0,1
tewksbury,2,1,1,6,12,10,5
tisbury,0,0,0,2,1,1,2
tolland,0,0,0,0,0,0,1
topsfield,1,1,0,0,1,0,0
townsend,1,4,0,0,0,4,2
truro,0,0,0,0,1,0,0
tyngsborough,2,1,1,2,1,2,4
tyringham,0,0,0,1,0,0,0
upton,1,1,0,0,1,0,1
uxbridge,3,2,0,1,0,0,0
wakefield,1,6,3,0,7,5,5
wales,0,0,0,0,0,0,1
walpole,1,2,1,2,4,4,3
waltham,3,8,11,6,11,11,3
ware,3,4,8,3,10,5,4
