city_death,2014,2015,2016,2017,2018
abington,0,6,1,3,5
acton,1,2,3,0,1
acushnet,0,4,2,4,0
adams,2,3,1,0,4
agawam,1,2,0,4,8
alford,0,0,0,0,0
amesbury,0,6,1,4,6
amherst,1,1,3,1,2
andover,5,2,3,2,2
aquinnah,0,0,0,0,0
arlington,5,4,2,1,2
ashburnham,0,1,1,0,0
ashby,1,0,0,1,0
ashfield,0,0,0,0,1
ashland,0,1,2,2,0
athol,2,2,4,5,10
attleboro,15,17,23,40,16
auburn,1,0,0,1,1
avon,2,0,1,1,2
ayer,2,1,10,3,2
barnstable,19,25,30,23,34
barre,0,0,0,0,1
becket,0,1,0,0,0
bedford,1,1,2,2,1
belchertown,1,0,1,3,6
bellingham,2,2,1,1,2
belmont,1,1,1,2,1
berkley,1,0,2,2,1
berlin,0,1,0,0,0
bernardston,0,0,0,0,0
beverly,12,14,28,17,12
billerica,6,7,9,8,8
blackstone,0,1,3,1,0
blandford,0,0,0,0,0
bolton,0,0,1,1,0
boston,167,226,259,279,245
bourne,2,4,6,1,4
boxborough,0,0,0,1,0
boxford,0,0,0,0,0
boylston,0,1,0,0,0
braintree,4,7,7,10,6
brewster,0,1,1,1,0
bridgewater,1,4,2,5,1
brimfield,0,0,0,0,2
brockton,45,88,69,71,51
brookfield,0,0,0,2,1
brookline,0,3,2,4,3
buckland,0,0,0,0,0
burlington,9,9,13,16,20
cambridge,18,24,41,21,19
canton,2,3,4,4,1
carlisle,0,0,0,0,0
carver,3,5,1,3,1
charlemont,0,0,0,0,0
charlton,0,0,1,3,0
chatham,1,1,0,0,0
chelmsford,1,3,3,5,3
chelsea,8,11,10,9,13
cheshire,0,0,0,0,3
chester,0,0,0,0,0
chesterfield,0,0,0,0,0
chicopee,5,8,16,10,17
chilmark,1,0,0,0,0
clarksburg,0,0,0,1,0
clinton,5,8,6,2,6
cohasset,2,0,1,0,0
colrain,0,0,0,0,0
concord,1,3,2,3,4
conway,0,0,0,0,0
cummington,0,0,0,0,0
dalton,0,0,1,0,0
danvers,3,7,3,3,4
dartmouth,3,3,7,3,4
dedham,2,2,4,0,6
deerfield,0,0,0,0,0
dennis,4,3,4,2,2
dighton,0,0,2,1,1
douglas,0,2,2,1,1
dover,0,0,0,0,0
dracut,3,7,4,3,7
dudley,1,1,1,1,3
dunstable,0,0,0,0,0
duxbury,0,0,2,0,0
east bridgewater,0,0,1,1,3
east brookfield,0,0,0,0,0
east longmeadow,0,1,1,2,0
eastham,2,1,0,1,0
easthampton,2,1,2,2,4
easton,4,4,3,3,4
edgartown,0,0,0,0,1
egremont,0,0,0,0,0
erving,0,0,0,0,0
essex,0,0,0,0,0
everett,35,43,40,34,28
fairhaven,1,5,5,4,3
fall river,49,43,85,64,67
falmouth,14,17,18,21,9
fitchburg,8,10,11,16,11
florida,0,0,0,0,0
foxborough,1,1,5,1,3
framingham,13,17,20,14,25
franklin,1,1,5,1,4
freetown,0,3,0,3,1
gardner,5,7,10,9,23
georgetown,0,1,1,1,1
gill,1,0,0,0,0
gloucester,3,11,9,17,16
goshen,1,0,0,0,0
gosnold,0,0,0,0,0
grafton,1,2,0,0,2
granby,1,0,1,0,0
granville,0,0,0,0,0
great barrington,2,1,1,0,0
greenfield,4,10,5,4,11
groton,0,1,0,1,0
groveland,0,0,1,1,0
hadley,1,0,2,0,1
halifax,0,0,0,1,2
hamilton,0,0,1,0,1
hampden,0,0,0,0,1
hancock,0,0,1,0,0
hanover,1,0,1,1,0
hanson,0,4,0,0,2
hardwick,0,2,1,0,0
harvard,0,0,0,0,1
harwich,0,3,1,1,1
hatfield,2,1,0,1,0
haverhill,30,25,37,24,24
hawley,0,0,0,0,0
heath,0,0,0,0,0
hingham,0,0,1,0,0
hinsdale,1,0,0,0,0
holbrook,2,3,1,5,4
holden,2,1,2,0,1
holland,0,0,0,0,0
holliston,0,1,1,0,1
holyoke,14,13,13,16,29
hopedale,0,0,2,0,1
