city_resid,2014,2015,2016,2017,2018
abington,2,6,2,4,11
acton,3,4,7,1,4
acushnet,1,4,4,7,2
adams,2,3,1,0,7
agawam,3,5,4,7,12
alford,0,0,0,0,0
amesbury,1,7,8,10,9
amherst,2,1,2,3,2
andover,6,6,3,2,2
aquinnah,1,1,0,0,0
arlington,5,6,6,3,3
ashburnham,1,1,2,0,1
ashby,0,0,0,0,0
ashfield,0,1,0,0,1
ashland,1,4,4,4,2
athol,2,3,3,6,6
attleboro,9,10,18,26,11
auburn,0,3,2,3,6
avon,2,3,3,2,2
ayer,1,1,7,1,2
barnstable,11,13,21,13,17
barre,0,3,0,0,3
becket,0,0,0,0,2
bedford,3,1,6,3,3
belchertown,2,2,2,5,7
bellingham,2,3,5,4,8
belmont,4,4,4,3,2
berkley,2,0,5,3,1
berlin,0,1,0,0,0
bernardston,0,0,1,0,0
beverly,8,14,18,11,7
billerica,12,13,16,14,13
blackstone,2,3,7,1,3
blandford,0,0,0,0,0
bolton,0,2,1,0,1
boston,108,151,194,198,181
bourne,5,8,9,12,3
boxborough,0,0,1,1,0
boxford,0,2,1,1,0
boylston,0,2,0,1,1
braintree,8,10,9,16,10
brewster,1,0,3,0,2
bridgewater,4,13,10,7,5
brimfield,0,0,1,1,2
brockton,25,52,43,49,35
brookfield,2,0,1,2,2
brookline,1,3,2,6,3
buckland,0,1,0,0,0
burlington,3,3,8,8,3
cambridge,8,13,27,12,11
canton,4,6,6,9,4
carlisle,0,0,0,0,1
carver,5,7,8,6,1
charlemont,0,0,0,0,0
charlton,1,1,4,6,1
chatham,1,2,1,0,1
chelmsford,3,5,6,6,3
chelsea,7,18,14,14,10
cheshire,0,0,1,0,3
chester,0,0,0,1,1
chesterfield,0,0,0,0,0
chicopee,7,18,26,19,31
chilmark,1,0,0,0,0
clarksburg,0,0,0,1,0
clinton,4,6,7,2,5
cohasset,3,0,2,1,2
colrain,0,0,0,0,0
concord,0,0,1,1,2
conway,0,0,0,0,0
cummington,0,0,0,0,0
