town,generic_name,year,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost
abington,alprazolam,2013,457,495.0,13567,3185.74
abington,alprazolam,2014,413,442.8,12428,2427.4
abington,alprazolam,2015,385,410.0,11241,2234.07
abington,alprazolam,2016,284,316.5,8777,1534.62
abington,alprazolam,2017,275,309.5,8384,1627.8100000000002
abington,diazepam,2013,135,153.0,4020,4384.639999999999
abington,diazepam,2014,108,118.0,3225,527.97
abington,diazepam,2015,136,145.5,3851,2544.45
abington,diazepam,2016,64,64.0,1672,241.99
abington,diazepam,2017,82,84.0,1908,6791.290000000001
abington,lorazepam,2013,375,428.7,11567,3192.28
abington,lorazepam,2014,380,415.0,11173,2382.66
abington,lorazepam,2015,374,416.3,11227,1919.9699999999998
abington,lorazepam,2016,403,430.5,10919,2563.5699999999997
abington,lorazepam,2017,398,441.0,11206,2986.91
acton,alprazolam,2013,179,189.0,4800,976.03
acton,alprazolam,2014,158,174.3,4572,1360.7500000000002
acton,alprazolam,2015,209,225.5,6141,1682.0800000000002
acton,alprazolam,2016,216,239.4,6411,753.39
acton,alprazolam,2017,235,269.0,6430,825.62
acton,diazepam,2013,153,178.2,4351,1889.03
acton,diazepam,2014,126,150.0,3844,1480.1699999999998
acton,diazepam,2015,121,127.0,3152,536.3299999999999
acton,diazepam,2016,123,135.0,3479,516.49
acton,diazepam,2017,181,197.5,5038,881.1899999999999
acton,lorazepam,2013,717,789.8,19803,4476.29
acton,lorazepam,2014,854,981.4,25170,4832.06
acton,lorazepam,2015,829,937.0999999999999,23847,4349.75
acton,lorazepam,2016,914,1036.6,26103,4210.1
acton,lorazepam,2017,1094,1191.8,30669,4956.93
adams,alprazolam,2013,128,128.4,3418,2084.28
adams,alprazolam,2014,155,155.3,3920,1840.93
adams,alprazolam,2015,200,200.6,5445,899.1099999999999
adams,alprazolam,2016,235,237.0,6190,1214.0500000000002
adams,alprazolam,2017,279,281.0,7195,1386.56
adams,diazepam,2013,71,75.0,2112,517.79
adams,diazepam,2014,80,80.0,2309,538.48
adams,diazepam,2015,101,105.0,2973,475.76
adams,diazepam,2016,117,119.5,3310,582.62
adams,diazepam,2017,97,98.5,2736,505.36
adams,lorazepam,2013,727,744.7,17919,5671.089999999999
adams,lorazepam,2014,715,721.3,18460,4360.12
adams,lorazepam,2015,779,783.7,20324,3856.73
adams,lorazepam,2016,893,896.0,22990,4323.349999999999
adams,lorazepam,2017,894,897.4,22464,3956.58
agawam,alprazolam,2013,527,586.5,15718,3951.46
agawam,alprazolam,2014,703,787.8,20358,4432.47
agawam,alprazolam,2015,686,782.8,20896,4108.999999999999
agawam,alprazolam,2016,538,614.0,15754,8839.309999999998
agawam,alprazolam,2017,390,409.6,10568,8714.42
agawam,diazepam,2013,144,145.0,3554,622.5
agawam,diazepam,2014,201,218.0,5817,831.82
agawam,diazepam,2015,225,242.1,6382,1089.08
agawam,diazepam,2016,179,186.9,4754,659.6400000000001
agawam,diazepam,2017,164,164.0,3940,918.4
agawam,lorazepam,2013,1343,1454.0,34889,11634.33
agawam,lorazepam,2014,1422,1543.9,36898,11006.05
agawam,lorazepam,2015,1306,1457.5,35037,9388.810000000001
agawam,lorazepam,2016,1282,1458.0,34932,8010.18
agawam,lorazepam,2017,1030,1132.6999999999998,26551,5174.98
amesbury,alprazolam,2013,742,789.0,22882,6409.37
amesbury,alprazolam,2014,793,834.7,23927,5521.889999999999
amesbury,alprazolam,2015,787,846.0,23934,5733.4
