npi,nppes_provider_last_name,nppes_provider_first_name,nppes_provider_zip_code,town,nppes_provider_state,specialty_description,total_claim_count,opioid_claim_count,opioid_prescribing_rate,long-acting_opioid_claim_count,year
1003001660,newton,robert,02446,brookline,MA,urology,12,0.0,0.0,0.0,2014
1003841198,kaplan,mark,02446,brookline,MA,obstetrics/gynecology,76,0.0,0.0,0.0,2014
1003842543,"reiner,jr",marshall,02446,brookline,MA,pediatric medicine,45,,,0.0,2014
1013101740,lee,peter,02446,brookline,MA,dentist,30,0.0,0.0,0.0,2014
1013125731,lipetsker,nickolay,02446,brookline,MA,dentist,134,0.0,0.0,0.0,2014
1013181007,turko,arthur,02446,brookline,MA,plastic and reconstructive surgery,48,24.0,50.0,0.0,2014
1023026481,mckeehan,michelle,02446,brookline,MA,nurse practitioner,679,14.0,2.06,,2014
1023064722,caplan,michael scott,02446,brookline,MA,psychiatry,17,0.0,0.0,0.0,2014
1033134945,han,susan,02446,brookline,MA,dentist,22,,,0.0,2014
1033280532,mann,susan,02446,brookline,MA,obstetrics/gynecology,55,0.0,0.0,0.0,2014
1043208119,kim,saechin,02446,brookline,MA,orthopedic surgery,1239,378.0,30.51,14.0,2014
1043255532,isberg,roberta,02446,brookline,MA,psychiatry,22,0.0,0.0,0.0,2014
1043277619,blatt,charles,02446,brookline,MA,cardiology,2151,0.0,0.0,0.0,2014
1043278609,wachman,amnon,02446,brookline,MA,internal medicine,13,0.0,0.0,0.0,2014
1043365927,pearsall,amy,02446,brookline,MA,family practice,803,0.0,0.0,0.0,2014
1043452584,haque,maheen,02446,brookline,MA,ophthalmology,117,0.0,0.0,0.0,2014
1043496219,fleisher,neal,02446,brookline,MA,dentist,55,,,0.0,2014
1053328286,epstein,alan,02446,brookline,MA,dentist,41,,,0.0,2014
1053447581,ostrov,julia,02446,brookline,MA,internal medicine,7693,67.0,0.87,0.0,2014
1053453506,hamer,helenita,02446,brookline,MA,psychiatry,228,,,,2014
1053666917,stein,boris,02446,brookline,MA,dentist,51,,,0.0,2014
1063446581,whiteman,daniel,02446,brookline,MA,dentist,14,,,,2014
1063451862,blando,paul,02446,brookline,MA,internal medicine,11,0.0,0.0,0.0,2014
1063528982,rees,michael,02446,brookline,MA,internal medicine,6054,445.0,7.35,75.0,2014
1063541936,amar,salomon,02446,brookline,MA,dentist,52,,,0.0,2014
1073688701,bateman,alan,02446,brookline,MA,psychiatry & neurology,90,0.0,0.0,0.0,2014
1083611826,burke,philip,02446,brookline,MA,psychiatry,109,0.0,0.0,0.0,2014
1083620819,phan,lawrence,02446,brookline,MA,dentist,26,0.0,0.0,0.0,2014
1083649123,krause,barbara,02446,brookline,MA,internal medicine,6733,270.0,4.01,22.0,2014
1083653224,zuckerman,marcia,02446,brookline,MA,psychiatry,170,,,0.0,2014
1083688774,ornstein,rafael,02446,brookline,MA,psychiatry,186,0.0,0.0,0.0,2014
1083785430,hannon,veronica,02446,brookline,MA,counselor,36,0.0,0.0,0.0,2014
1093805590,pearlman,chester,02446,brookline,MA,psychiatry,51,0.0,0.0,0.0,2014
1093894420,popper,andrew,02446,brookline,MA,psychiatry & neurology,174,0.0,0.0,0.0,2014
1093915795,akland,amy,02446,brookline,MA,physician assistant,348,0.0,0.0,0.0,2014
1104141415,levine,elliot,02446,brookline,MA,student in an organized health care education/training program,109,0.0,0.0,0.0,2014
1104868116,brown,david,02446,brookline,MA,psychiatry,127,0.0,0.0,0.0,2014
1114088150,kellogg,pamela,02446,brookline,MA,psychiatry & neurology,26,0.0,0.0,0.0,2014
1114959640,finkelstein,macie,02446,brookline,MA,ophthalmology,583,,,0.0,2014
1114966207,kasarjian,parnag,02446,brookline,MA,internal medicine,1852,63.0,3.4,,2014
1124065768,goldsmith,gary,02446,brookline,MA,psychiatry,612,0.0,0.0,0.0,2014
1124185426,fisch,marcia,02446,brookline,MA,psychiatry,50,0.0,0.0,0.0,2014
1124421474,navedo,ruth,02446,brookline,MA,nurse practitioner,16,,,0.0,2014
1134269921,backman,kenneth,02446,brookline,MA,dentist,233,59.0,25.32,0.0,2014
1134430374,cruz,dan,02446,brookline,MA,family practice,699,,,,2014
1144254053,klein,johanna,02446,brookline,MA,internal medicine,1042,67.0,6.43,11.0,2014
1144291741,rice,kenneth,02446,brookline,MA,cardiology,3437,,,0.0,2014
1144405010,klavens,george,02446,brookline,MA,psychiatry,142,0.0,0.0,0.0,2014
1154392108,nimgade,ashok,02446,brookline,MA,physical medicine and rehabilitation,11,,,0.0,2014
1154546463,hutner,robert,02446,brookline,MA,dentist,36,,,0.0,2014
1164484598,chernin,david,02446,brookline,MA,dentist,12,,,0.0,2014
1164495214,maltsberger,john,02446,brookline,MA,psychiatry & neurology,25,0.0,0.0,0.0,2014
1164599320,reder,milton,02446,brookline,MA,internal medicine,26,19.0,73.08,,2014
1164748398,cohen,jonah,02446,brookline,MA,student in an organized health care education/training program,187,,,0.0,2014
1184602302,komer,cyrus,02446,brookline,MA,internal medicine,537,0.0,0.0,0.0,2014
1194766634,gershengorn,kenneth,02446,brookline,MA,cardiology,2812,155.0,5.51,27.0,2014
1205020260,ehrlich,marc,02446,brookline,MA,dentist,43,,,0.0,2014
1205140597,penoyar,thomas,02446,brookline,MA,general surgery,29,,,,2014
1205892957,bilchik,brian,02446,brookline,MA,cardiology,1896,0.0,0.0,0.0,2014
1205902798,chui,popo,02446,brookline,MA,dentist,18,0.0,0.0,0.0,2014
1215902929,patel,pratiksha,02446,brookline,MA,internal medicine,2597,32.0,1.23,0.0,2014
1215999255,mamuya,wilfred,02446,brookline,MA,cardiology,13,0.0,0.0,0.0,2014
1225075542,bowman,kim,02446,brookline,MA,internal medicine,4656,237.0,5.09,69.0,2014
1225077217,dye,robert,02446,brookline,MA,internal medicine,718,0.0,0.0,0.0,2014
1225160112,bessler,barry,02446,brookline,MA,dentist,39,,,0.0,2014
1225207681,morgenstern,jay,02446,brookline,MA,dentist,99,43.0,43.43,0.0,2014
1235178237,komer,r roger,02446,brookline,MA,cardiology,886,,,0.0,2014
1235185802,cohen,wendy,02446,brookline,MA,psychiatry,359,0.0,0.0,0.0,2014
1235557257,buell,eric,02446,brookline,MA,student in an organized health care education/training program,20,,,0.0,2014
1245296649,chinman,gary,02446,brookline,MA,psychiatry,16,0.0,0.0,0.0,2014
1255398574,delli-bovi,laurent,02446,brookline,MA,obstetrics/gynecology,69,,,0.0,2014
1255411070,vasserman,irina,02446,brookline,MA,podiatry,736,,,0.0,2014
