city_death,2014,2015,2016,2017,2018,tot_pop_13,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
abington,0,6,1,3,5,16109.285714285714,16150.714285714286,16192.142857142857,16233.57142857143,16275,2469,0.15170506912442397,87156.0,98809.03550508946,5.405642963874484,0.03575398295665061,0.10040755835494627,rural,grown
acton,1,2,3,0,1,22580.14285714286,22798.85714285714,23017.571428571428,23236.285714285714,23455,4001,0.17058196546578555,139890.46666666667,156680.2038667132,2.456531155250294,0.03831466941262282,0.04174711460076372,rural,grown
acushnet,0,4,2,4,0,10363.0,10383.0,10403.0,10423.0,10443,2431,0.23278751316671453,69624.71428571429,80333.1758415636,18.297314996725607,0.040828173374613,0.17840557275541796,rural,grown
adams,2,3,1,0,4,8367.57142857143,8328.42857142857,8289.285714285714,8250.142857142857,8211,1764,0.21483375959079284,48445.4,60968.59465971087,11.862182116488926,0.11085394079668656,0.1445973931051285,rural,shrunk
agawam,1,2,0,4,8,27684.428571428572,27705.571428571428,27726.714285714286,27747.85714285714,27769,6195,0.22309049659692462,65490.125,79464.23444558342,7.748863306568637,0.09481894150417827,0.14265552460538533,rural,grown
alford,0,0,0,0,0,458.42857142857144,446.57142857142856,434.7142857142857,422.85714285714283,411,219,0.5328467153284672,105625.0,148519.270833333,1.4534883720930232,0.04866180048661801,0.024330900243309004,rural,shrunk
amesbury,0,6,1,4,6,16683.714285714286,16817.285714285714,16950.85714285714,17084.428571428572,17218,2949,0.17127424788012546,86335.33333333333,96920.17138143258,5.751708428246014,0.04914077212806026,0.09021892655367232,rural,grown
amherst,1,1,3,1,2,38702.28571428572,38996.71428571428,39291.142857142855,39585.57142857143,39880,3465,0.08688565697091274,61203.94736842105,76166.45394901112,4.992163009404389,0.3322599779679688,0.14867384119989832,rural,grown
andover,5,2,3,2,2,34132.71428571428,34443.28571428572,34753.857142857145,35064.42857142857,35375,5881,0.16624734982332157,135314.05,174570.49906727744,2.6285172577239626,0.04442355153367023,0.044012222352802916,rural,grown
aquinnah,0,0,0,0,0,452.0,499.0,546.0,593.0,640,66,0.103125,80250.0,103304.316546763,9.667673716012084,0.2171875,0.05,rural,grown
arlington,5,4,2,1,2,43764.57142857143,44071.42857142857,44378.28571428572,44685.142857142855,44992,8208,0.18243243243243243,117226.48837209302,141678.55759841323,2.9699689749691256,0.05175770323793327,0.0668620913423885,rural,grown
ashburnham,0,1,1,0,0,6136.285714285715,6154.714285714285,6173.142857142857,6191.571428571428,6210,776,0.1249597423510467,86149.8,99282.09876598573,2.8346068523539563,0.047760210803689064,0.06538208168642952,rural,grown
ashby,1,0,0,1,0,3125.8571428571427,3143.1428571428573,3160.4285714285716,3177.714285714286,3195,496,0.15524256651017215,93522.0,103872.60450834001,8.383233532934131,0.07855559075071271,0.06208425720620843,rural,grown
ashfield,0,0,0,0,1,1677.4285714285713,1657.5714285714287,1637.7142857142858,1617.857142857143,1598,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
ashland,0,1,2,2,0,16972.285714285714,17098.714285714286,17225.14285714286,17351.571428571428,17478,2943,0.16838311019567456,105871.77777777778,126114.49357549782,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
athol,2,2,4,5,10,11625.142857142857,11638.857142857143,11652.57142857143,11666.285714285714,11680,2196,0.18801369863013698,54531.71428571428,61648.84684156779,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
attleboro,15,17,23,40,16,43907.142857142855,44011.857142857145,44116.57142857143,44221.28571428572,44326,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
auburn,1,0,0,1,1,16344.0,16396.0,16448.0,16500.0,16552,3659,0.2210608989850169,78411.05882352941,93681.00878706726,6.791185385434587,0.04602942964854676,0.09175483400218898,rural,grown
avon,2,0,1,1,2,4404.0,4420.0,4436.0,4452.0,4468,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
ayer,2,1,10,3,2,7678.571428571428,7762.428571428572,7846.285714285715,7930.142857142857,8014,1102,0.1375093586224108,76260.0,88050.46078038828,4.497398892431616,0.13423322084739409,0.0804899387576553,rural,grown
barnstable,19,25,30,23,34,44821.0,44697.0,44573.0,44449.0,44325,11869,0.26777213761985336,70447.84210526316,96581.06305344864,5.257753752302721,0.09114004445855828,0.14578324184548383,rural,shrunk
barre,0,0,0,0,1,5437.857142857143,5451.142857142857,5464.428571428572,5477.714285714285,5491,752,0.13695137497723547,70220.25,88804.5441717447,4.329349269588313,0.057212076034289974,0.11647409616101378,rural,grown
becket,0,1,0,0,0,1810.2857142857142,1820.7142857142858,1831.142857142857,1841.5714285714287,1852,421,0.22732181425485962,76042.0,88111.42338958636,6.639288158795345,0.06924754634678298,0.0916030534351145,rural,grown
bedford,1,1,2,2,1,13656.42857142857,13768.57142857143,13880.714285714286,13992.857142857143,14105,3078,0.21822048918823111,124504.22222222222,151027.7814162325,2.3693803159173754,0.025362582902120838,0.07900298812039938,rural,grown
belchertown,1,0,1,3,6,14759.142857142857,14795.857142857143,14832.57142857143,14869.285714285714,14906,2721,0.18254394203676372,87325.66666666667,105305.02638535477,6.400318028225005,0.0576884150867013,0.09621483030834627,rural,grown
bellingham,2,2,1,1,2,16587.85714285714,16673.14285714286,16758.428571428572,16843.714285714286,16929,2330,0.13763364640557624,96905.77777777778,116765.78432545734,6.006031160998492,0.04181579575280363,0.0587568599379623,rural,grown
belmont,1,1,1,2,1,25258.714285714286,25435.285714285714,25611.85714285714,25788.428571428572,25965,5009,0.19291353745426534,133904.22222222222,169356.88168527174,3.4898582939705474,0.05527012299548498,0.0535575276350615,rural,grown
berkley,1,0,2,2,1,6504.857142857143,6536.142857142857,6567.428571428572,6598.714285714285,6630,847,0.1277526395173454,94247.66666666667,107201.58783799357,6.329386437029063,0.03928085813567004,0.09276325728962079,rural,grown
berlin,0,1,0,0,0,2965.4285714285716,2998.5714285714284,3031.714285714286,3064.8571428571427,3098,614,0.19819238218205293,90776.5,121826.9028195785,6.247269550021843,0.028877352368591822,0.08208955223880597,rural,grown
bernardston,0,0,0,0,0,1042.0,1050.0,1058.0,1066.0,1074,261,0.2430167597765363,70500.0,82633.3333333333,2.406738868832732,0.035381750465549346,0.2206703910614525,rural,uncertain
beverly,12,14,28,17,12,40328.71428571428,40604.28571428572,40879.857142857145,41155.42857142857,41431,7488,0.18073423282083464,87027.46428571429,112923.64809992803,5.6848089272555,0.08261729938030517,0.12794875800656147,rural,grown
billerica,6,7,9,8,8,41335.0,41699.0,42063.0,42427.0,42791,7375,0.1723493257928069,100865.35714285714,111088.3180768316,7.437693435412934,0.042882969748101726,0.07151982644329276,rural,grown
blackstone,0,1,3,1,0,9101.0,9126.0,9151.0,9176.0,9201,1238,0.134550592326921,73267.6,88997.39166895002,5.818931346123355,0.03982542280414621,0.08292416803055101,rural,grown
blandford,0,0,0,0,0,1244.142857142857,1247.857142857143,1251.5714285714287,1255.2857142857142,1259,306,0.24305003971405878,62875.0,78223.8447319778,10.623084780388151,0.07069102462271644,0.1556791104050834,rural,uncertain
bolton,0,0,1,1,0,5012.714285714285,5051.285714285715,5089.857142857143,5128.428571428572,5167,716,0.13857170505128702,149331.5,164037.83714528248,1.2813046010483402,0.013934584865492549,0.03657828527191794,rural,grown
boston,167,226,259,279,245,639004.4285714285,646388.5714285715,653772.7142857143,661156.8571428572,668541,85040,0.12720237053524017,71196.0495049505,92167.94052329108,13.941736093625128,0.2051539801511834,0.15864350438687613,urban,grown
bourne,2,4,6,1,4,19800.0,19808.0,19816.0,19824.0,19832,4614,0.2326542960871319,69166.9375,91659.35790084311,3.6843221837210947,0.06850593787273765,0.11294922989161438,rural,uncertain
boxborough,0,0,0,1,0,5231.714285714285,5310.285714285715,5388.857142857143,5467.428571428572,5546,739,0.13324918860439958,111916.33333333333,138245.35080914994,2.992776057791538,0.05319148936170213,0.06527226830147854,rural,grown
boxford,0,0,0,0,0,8075.428571428572,8113.571428571428,8151.714285714285,8189.857142857143,8228,1698,0.2063684978123481,162762.6,204146.35700396338,2.3788852231290156,0.02771025765678172,0.03986387943607195,rural,grown
boylston,0,1,0,0,0,4427.428571428572,4451.571428571428,4475.714285714285,4499.857142857143,4524,660,0.14588859416445624,91662.75,114604.4399436983,3.4374014506464836,0.040798226164079826,0.08980044345898004,rural,grown
braintree,4,7,7,10,6,36317.42857142857,36508.57142857143,36699.71428571428,36890.857142857145,37082,7407,0.19974650773960412,87660.2,102959.95774705119,5.949796213766046,0.04990413585319091,0.09821966584497398,rural,grown
brewster,0,1,1,1,0,9835.42857142857,9840.57142857143,9845.714285714286,9850.857142857143,9856,3274,0.33218344155844154,71159.11111111111,93807.27444595686,2.887947631882942,0.04801933382368393,0.12262267521277713,rural,uncertain
bridgewater,1,4,2,5,1,26936.285714285714,27060.714285714286,27185.14285714286,27309.571428571428,27434,4382,0.1597288036742728,96327.5,113320.18273497929,7.249760536398467,0.09496371233780515,0.08260391466901254,rural,grown
brimfield,0,0,0,0,2,3658.285714285714,3674.714285714286,3691.1428571428573,3707.5714285714284,3724,839,0.2252953813104189,86875.0,95589.44559944549,6.1745919091554295,0.04223064428803465,0.13806172171088252,rural,grown
brockton,45,88,69,71,51,93774.57142857143,93981.42857142857,94188.28571428571,94395.14285714286,94602,13445,0.14212173104162704,59320.72151898734,69958.24249674237,18.79663723158135,0.16903504043126685,0.19819946091644206,urban,grown
brookfield,0,0,0,2,1,3396.8571428571427,3399.1428571428573,3401.4285714285716,3403.714285714286,3406,791,0.23223722842043454,63971.333333333336,86589.52895936577,12.668463611859838,0.0919302394324564,0.11055276381909548,rural,uncertain
brookline,0,3,2,4,3,58952.28571428572,59025.71428571428,59099.142857142855,59172.57142857143,59246,10353,0.17474597441177464,120886.67567567568,163911.0914964759,2.8807285832562215,0.11366000832292968,0.07064086558468581,urban,grown
buckland,0,0,0,0,0,1912.7142857142858,1916.2857142857142,1919.857142857143,1923.4285714285713,1927,538,0.27919045147898286,53202.0,65936.03454876065,10.0418410041841,0.10764430577223089,0.16796671866874674,rural,uncertain
burlington,9,9,13,16,20,25185.85714285714,25415.14285714286,25644.428571428572,25873.714285714286,26103,6078,0.23284679921848064,109413.13333333333,128491.74066488205,4.841358122781927,0.03990646323698536,0.06378900559687188,rural,grown
cambridge,18,24,41,21,19,107618.14285714286,108436.85714285714,109255.57142857143,110074.28571428571,110893,14462,0.13041400268727513,96468.08641975309,129963.8306557746,5.342999060276547,0.1350795334040297,0.09595970307529163,urban,grown
canton,2,3,4,4,1,22104.428571428572,22285.571428571428,22466.714285714286,22647.85714285714,22829,4471,0.19584738709536118,95860.09090909091,125642.42598347082,2.9595972000491217,0.05990312402790739,0.056747989157001286,rural,grown
carlisle,0,0,0,0,0,4984.0,5028.0,5072.0,5116.0,5160,1212,0.23488372093023255,172634.0,252380.83414558452,2.3783185840707963,0.01608527131782946,0.02248062015503876,rural,grown
carver,3,5,1,3,1,11555.285714285714,11570.714285714286,11586.142857142857,11601.57142857143,11617,2787,0.23990703279676337,79661.375,89054.10151703263,10.390532544378699,0.0457132999827497,0.14455752975677075,rural,grown
charlton,0,0,1,3,0,13151.57142857143,13208.42857142857,13265.285714285714,13322.142857142857,13379,1741,0.13012930712310336,89875.6,103546.55000397234,4.298397574707666,0.04674735249621785,0.06293494704992436,rural,grown
